,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_drop,param_model,param_replacement,param_scaling,param_selection,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auc_roc,split1_test_auc_roc,split2_test_auc_roc,split3_test_auc_roc,split4_test_auc_roc,split5_test_auc_roc,split6_test_auc_roc,split7_test_auc_roc,split8_test_auc_roc,split9_test_auc_roc,mean_test_auc_roc,std_test_auc_roc,rank_test_auc_roc,param_samplers
0,0.37652077674865725,0.03201843275037165,0.015641665458679198,0.0014873421080720374,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile()}",0.5,0.375,0.6,0.8571428571428571,0.29411764705882354,0.25,0.25,0.3076923076923077,0.3,0.4,0.41339528118939883,0.1823573521903725,3,0.03636363636363636,0.05454545454545454,0.05454545454545454,0.05504587155963303,0.045871559633027525,0.027522935779816515,0.009174311926605505,0.03669724770642202,0.027522935779816515,0.05504587155963303,0.040233527939949956,0.014817339433577562,8,0.06779661016949153,0.09523809523809523,0.09999999999999999,0.10344827586206896,0.07936507936507936,0.049586776859504134,0.017699115044247787,0.06557377049180328,0.05042016806722689,0.0967741935483871,0.07259020846459044,0.0263687645922807,8,0.6952908587257618,0.6842105263157895,0.7008310249307479,0.7119113573407202,0.6777777777777778,0.6805555555555556,0.6916666666666667,0.6833333333333333,0.6861111111111111,0.6888888888888889,0.6900577100646352,0.00980335178635811,2,0.5102136906917784,0.5073524085476276,0.5193045997826874,0.5255388087956896,0.49903139734639423,0.49583318103731866,0.49861106034577285,0.5004203370006214,0.4998172447823386,0.509594648927227,0.5065717377257455,0.009294597595071171,8,
1,0.3847464323043823,0.027450638186709012,0.01772487163543701,0.004349986233577217,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': SelectPercentile()}",0.5,0.4782608695652174,0.4117647058823529,0.7142857142857143,0.2916666666666667,0.36363636363636365,0.3333333333333333,0.2857142857142857,0.3125,0.38461538461538464,0.40757773236993183,0.12366142988840602,5,0.05454545454545454,0.1,0.06363636363636363,0.09174311926605505,0.06422018348623854,0.07339449541284404,0.03669724770642202,0.05504587155963303,0.045871559633027525,0.09174311926605505,0.06768974145120933,0.02007810286981794,3,0.09836065573770492,0.16541353383458648,0.11023622047244094,0.16260162601626016,0.10526315789473685,0.12213740458015268,0.06611570247933884,0.0923076923076923,0.08,0.14814814814814814,0.11505841414710613,0.03237457363470523,3,0.6952908587257618,0.6925207756232687,0.6869806094182825,0.7146814404432132,0.6694444444444444,0.6805555555555556,0.6861111111111111,0.6722222222222223,0.6805555555555556,0.6805555555555556,0.685891812865497,0.012268504385665862,6,0.5153205360376675,0.5260956175298805,0.5118978630930823,0.5379350516965196,0.49824554991045,0.5088088014912826,0.5024123688731313,0.4976424576921672,0.5010234292189042,0.5139990496728681,0.5113380725215952,0.012246958374835042,4,
2,0.9602899551391602,0.054943338017537625,0.02558131217956543,0.005307758358008827,DropTransformer(),RandomForestClassifier(random_state=100),SimpleImputer(),MinMaxScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=100), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile()}",0.4666666666666667,0.4444444444444444,0.3333333333333333,0.5454545454545454,0.2857142857142857,0.23076923076923078,0.4444444444444444,0.3125,0.3076923076923077,0.5,0.3871019258519258,0.10010502764713725,7,0.06363636363636363,0.07272727272727272,0.01818181818181818,0.05504587155963303,0.05504587155963303,0.027522935779816515,0.03669724770642202,0.045871559633027525,0.03669724770642202,0.06422018348623854,0.047564637197664725,0.01668799042495313,6,0.11199999999999999,0.125,0.034482758620689655,0.1,0.0923076923076923,0.04918032786885246,0.06779661016949154,0.08,0.06557377049180328,0.11382113821138211,0.08401622976699112,0.028216587211556857,6,0.6925207756232687,0.6897506925207756,0.6897506925207756,0.7008310249307479,0.6722222222222223,0.6777777777777778,0.6944444444444444,0.6805555555555556,0.6833333333333333,0.6972222222222222,0.6878408741151124,0.008649619226791474,5,0.5158819268381022,0.5164433176385368,0.5011227816008692,0.5176023008591817,0.4976424576921672,0.4938411491648087,0.5083884644906612,0.5010234292189042,0.5004203370006214,0.5181658686355496,0.5070532033139403,0.008839241024737118,7,
3,0.9321434736251831,0.04583362514610623,0.025380444526672364,0.004227656736482437,DropTransformer(),RandomForestClassifier(random_state=100),SimpleImputer(),StandardScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=100), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': SelectPercentile()}",0.5333333333333333,0.4444444444444444,0.5,0.5454545454545454,0.2857142857142857,0.2727272727272727,0.4444444444444444,0.3333333333333333,0.23076923076923078,0.5,0.40902208902208903,0.11154125167309539,4,0.07272727272727272,0.07272727272727272,0.02727272727272727,0.05504587155963303,0.05504587155963303,0.027522935779816515,0.03669724770642202,0.045871559633027525,0.027522935779816515,0.06422018348623854,0.04846538782318599,0.01727314609405771,5,0.128,0.125,0.05172413793103448,0.1,0.0923076923076923,0.05,0.06779661016949154,0.08064516129032258,0.04918032786885246,0.11382113821138211,0.08584750677787753,0.029122381164907316,5,0.6980609418282548,0.6897506925207756,0.6952908587257618,0.7008310249307479,0.6722222222222223,0.6833333333333333,0.6944444444444444,0.6833333333333333,0.6777777777777778,0.6972222222222222,0.6892266851338873,0.009113723901698362,4,0.5224194132560667,0.5164433176385368,0.5076602680188338,0.5176023008591817,0.4976424576921672,0.4978252129098286,0.5083884644906612,0.5030154610914142,0.4938411491648087,0.5181658686355496,0.5083003913757049,0.009540680222535349,5,
4,0.3894280195236206,0.03668855857520734,0.01464529037475586,0.002387520357925463,DropTransformer(),LinearSVC(),SimpleImputer(),MinMaxScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile()}",0.6666666666666666,0.4444444444444444,0.45454545454545453,0.8571428571428571,0.4,0.2727272727272727,0.3333333333333333,0.4,0.2,0.29411764705882354,0.4322977675918852,0.1861353336965981,1,0.03636363636363636,0.07272727272727272,0.045454545454545456,0.05504587155963303,0.05504587155963303,0.027522935779816515,0.01834862385321101,0.03669724770642202,0.01834862385321101,0.045871559633027525,0.04114261884904087,0.016408458200891315,7,0.06896551724137931,0.125,0.08264462809917356,0.10344827586206896,0.0967741935483871,0.05,0.034782608695652174,0.06722689075630252,0.03361344537815126,0.07936507936507936,0.07418206389461943,0.028118224770410222,7,0.7008310249307479,0.6897506925207756,0.6925207756232687,0.7119113573407202,0.6888888888888889,0.6833333333333333,0.6916666666666667,0.6916666666666667,0.6805555555555556,0.6777777777777778,0.6908902739304401,0.009411291535320103,1,0.5141977544367983,0.5164433176385368,0.510775081492213,0.5255388087956896,0.509594648927227,0.4978252129098286,0.5012061844365656,0.5063964326181513,0.4932380569465258,0.49903139734639423,0.507424689554793,0.009353342691478887,6,
5,0.5487592220306396,0.02578133171707649,0.01412041187286377,0.004603895812567893,DropTransformer(),LinearSVC(),SimpleImputer(),StandardScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': SelectPercentile()}",0.5,0.5,0.4,0.8181818181818182,0.3888888888888889,0.35294117647058826,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.3,0.4315567439096851,0.14362036329752997,2,0.045454545454545456,0.09090909090909091,0.05454545454545454,0.08256880733944955,0.06422018348623854,0.05504587155963303,0.027522935779816515,0.06422018348623854,0.03669724770642202,0.05504587155963303,0.05762301918265221,0.018253847651607466,4,0.08333333333333334,0.15384615384615385,0.096,0.15000000000000002,0.11023622047244094,0.09523809523809525,0.05084745762711865,0.11023622047244094,0.06611570247933884,0.0930232558139535,0.10088764392828753,0.030871242443532454,4,0.6952908587257618,0.6952908587257618,0.6869806094182825,0.7174515235457064,0.6861111111111111,0.6833333333333333,0.6888888888888889,0.6861111111111111,0.6861111111111111,0.675,0.6900569405971068,0.010652258901178827,3,0.5127671133647229,0.5255342267294458,0.5093444404201376,0.5373161497014708,0.5101977411455098,0.505610585182207,0.5018092766548485,0.5101977411455098,0.5024123688731313,0.49963448956467715,0.5114824132781661,0.011068172772599262,3,
6,0.2911919116973877,0.07690664651793201,0.022968316078186037,0.0032103410518668895,DropTransformer(),KNeighborsClassifier(),SimpleImputer(),MinMaxScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile()}",0.3484848484848485,0.36764705882352944,0.265625,0.4583333333333333,0.26744186046511625,0.2753623188405797,0.34177215189873417,0.31343283582089554,0.3492063492063492,0.38271604938271603,0.33700218062561016,0.05687001637246444,8,0.20909090909090908,0.22727272727272727,0.15454545454545454,0.30275229357798167,0.21100917431192662,0.1743119266055046,0.24770642201834864,0.1926605504587156,0.2018348623853211,0.28440366972477066,0.22055879899916597,0.0441159258026171,2,0.26136363636363635,0.28089887640449435,0.1954022988505747,0.36464088397790057,0.2358974358974359,0.21348314606741575,0.2872340425531915,0.2386363636363637,0.2558139534883721,0.3263157894736842,0.26596864267130693,0.04854184733472538,2,0.6398891966759003,0.6454293628808865,0.6121883656509696,0.6814404432132964,0.5861111111111111,0.6111111111111112,0.6277777777777778,0.6277777777777778,0.6444444444444445,0.6444444444444445,0.632061403508772,0.02442729274171426,8,0.5188880840275263,0.5279789931184353,0.4836472292647591,0.5739951944080385,0.48000657918783585,0.4875543696772543,0.5202675536386564,0.5046968090938996,0.5192441244197522,0.5426002412368873,0.5158879178073045,0.027441952503467114,2,
7,0.35034205913543703,0.057458061462306,0.023523354530334474,0.003602370444019166,DropTransformer(),KNeighborsClassifier(),SimpleImputer(),StandardScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': SelectPercentile()}",0.48148148148148145,0.4,0.39344262295081966,0.42857142857142855,0.38961038961038963,0.4307692307692308,0.3064516129032258,0.3230769230769231,0.39285714285714285,0.35714285714285715,0.39034036893634994,0.04916948035710407,6,0.23636363636363636,0.23636363636363636,0.21818181818181817,0.22018348623853212,0.27522935779816515,0.25688073394495414,0.1743119266055046,0.1926605504587156,0.2018348623853211,0.22935779816513763,0.22413678065054216,0.0283383199269055,1,0.3170731707317073,0.29714285714285715,0.28070175438596495,0.2909090909090909,0.32258064516129037,0.3218390804597701,0.22222222222222224,0.2413793103448276,0.26666666666666666,0.2793296089385475,0.28398444069629447,0.031938561424372555,1,0.6897506925207756,0.6592797783933518,0.6592797783933518,0.6759002770083102,0.65,0.6722222222222223,0.6305555555555555,0.6333333333333333,0.6638888888888889,0.6416666666666667,0.6575877192982456,0.018054009733561232,7,0.5624049257515393,0.5404925751539298,0.5353857298080407,0.5465996796272026,0.5439891808911145,0.5547351876896085,0.5014985927848241,0.5086808728389195,0.533188347527322,0.5250374648196205,0.5352012556892121,0.018175127487147297,1,
8,0.3653676986694336,0.0346627510475957,0.016237092018127442,0.0024691435867959994,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile()}",0.3930635838150289,0.3701657458563536,0.40119760479041916,0.375,0.3236994219653179,0.3442622950819672,0.3595505617977528,0.3076923076923077,0.391304347826087,0.3218390804597701,0.3587774949285004,0.03137158329036656,11,0.6181818181818182,0.6090909090909091,0.6090909090909091,0.5504587155963303,0.5137614678899083,0.5779816513761468,0.5871559633027523,0.47706422018348627,0.5779816513761468,0.5137614678899083,0.5634528773978316,0.04551400263106434,28,0.480565371024735,0.46048109965635736,0.4837545126353791,0.44609665427509293,0.39716312056737585,0.43150684931506844,0.445993031358885,0.37410071942446044,0.4666666666666667,0.3957597173144876,0.43820877422385085,0.035970326127984655,23,0.592797783933518,0.5650969529085873,0.6038781163434903,0.5872576177285319,0.5277777777777778,0.5388888888888889,0.5583333333333333,0.5166666666666667,0.6,0.525,0.5615697137580794,0.03151952813416818,15,0.5999275624773632,0.5774538210793191,0.6053422672944586,0.5768166593854668,0.5238130048612888,0.5499470009868781,0.5664863481852407,0.5054643810080778,0.5937717021820973,0.5218209729887788,0.562084372044897,0.03349485798367436,7,RandomUnderSampler()
9,0.3929223299026489,0.04257324204489864,0.015083384513854981,0.00257774108942706,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),SelectPercentile(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile()}",0.3651685393258427,0.3812154696132597,0.3673469387755102,0.35802469135802467,0.3216374269005848,0.3391812865497076,0.33136094674556216,0.3181818181818182,0.37575757575757573,0.3216374269005848,0.3479512120108471,0.022971735106836488,24,0.5909090909090909,0.6272727272727273,0.4909090909090909,0.5321100917431193,0.5045871559633027,0.5321100917431193,0.5137614678899083,0.5137614678899083,0.5688073394495413,0.5045871559633027,0.537881567973311,0.04172856164133797,37,0.4513888888888889,0.47422680412371143,0.42023346303501946,0.42804428044280446,0.39285714285714285,0.41428571428571426,0.40287769784172667,0.3929824561403509,0.45255474452554745,0.39285714285714285,0.42223083349980495,0.02744059429103823,34,0.5623268698060941,0.5761772853185596,0.5872576177285319,0.5706371191135734,0.5277777777777778,0.5444444444444444,0.5388888888888889,0.5194444444444445,0.5833333333333334,0.5277777777777778,0.5538065558633425,0.023860118335065218,27,0.5703549438609199,0.5905287939152482,0.5601955813111192,0.5597058395223533,0.5212178807704959,0.5409554442779341,0.5317811323513286,0.5178369092437589,0.5792243868562448,0.5212178807704959,0.5493018792879899,0.024918401724499894,24,RandomUnderSampler()
