,name,xShape,yShape,time,truePercent
0,handpicked,"(3073, 43)","(3073,)",0 days 04:23:01.141674,0.3058900097624471
1,correlation,"(3073, 48)","(3073,)",0 days 04:25:21.792504,0.3058900097624471
