,0
WTDRD1,0.040619951406449785
WTDR2D,0.023954656809422933
DR2DRSTZ,0.026350330184923842
DR2EXMER,0.008790197799518014
DRABF,
DRDINT,0.03924372343607628
DR2DBIH,0.01860287873004974
DR2DAY,0.01218086917347995
DR2LANG,0.01965845526755913
DR2MNRSP,0.013195806404194294
DR2HELPD,0.0032772070688853144
DR2TNUMF,0.015749153744382276
DR2TKCAL,0.062210585497137684
DR2TPROT,0.02975534076358394
DR2TCARB,0.06032036378105074
DR2TSUGR,0.054317083720005245
DR2TFIBE,0.01694786714750833
DR2TTFAT,0.05365937092872362
DR2TSFAT,0.05800836545015946
DR2TMFAT,0.05119830329340813
DR2TPFAT,0.03670496385535426
DR2TCHOL,0.016756470388238427
DR2TATOC,0.03854894602047978
DR2TATOA,0.012279758109299843
DR2TRET,0.04037154917309208
DR2TVARA,0.03231251423789229
DR2TACAR,0.0011677419611885492
DR2TBCAR,0.009277619342148977
DR2TCRYP,0.00866850104269804
DR2TLYCO,0.0189283940886866
DR2TLZ,0.0023594587585786335
DR2TVB1,0.03412488022349546
DR2TVB2,0.052887225338017006
DR2TNIAC,0.049588065806306286
DR2TVB6,0.03446257293132914
DR2TFOLA,0.027860641654161928
DR2TFA,0.028994996439183168
DR2TFF,0.01042310423776388
DR2TFDFE,0.02908897671513272
DR2TCHL,0.020388375720960503
DR2TVB12,0.03582265598265517
DR2TB12A,0.026659572098460232
DR2TVC,0.009226487925857034
DR2TVD,0.015929360819371453
DR2TVK,0.0033946855839459716
DR2TCALC,0.03764167313538688
DR2TPHOS,0.047760710525748144
DR2TMAGN,0.045404201381766755
DR2TIRON,0.034069536749827774
DR2TZINC,0.031031762835732335
DR2TCOPP,0.032861326417703444
DR2TSODI,0.03790439103043993
DR2TPOTA,0.026735443398830817
DR2TSELE,0.014340966215613638
DR2TCAFF,0.05789985864486495
DR2TTHEO,0.03737112566664439
DR2TALCO,0.028017999380436275
DR2TMOIS,0.04266174075480273
DR2TS040,0.05073527450441019
DR2TS060,0.04913693625068891
DR2TS080,0.03062982365836363
DR2TS100,0.04624362592244139
DR2TS120,0.0170452283367875
DR2TS140,0.05193117302263045
DR2TS160,0.05673919902606476
DR2TS180,0.05572011989369365
DR2TM161,0.042152227913904904
DR2TM181,0.0526015495207172
DR2TM201,0.030836855711098246
DR2TM221,0.025003619636489654
DR2TP182,0.03510618507762351
DR2TP183,0.02529435877433911
DR2TP184,0.007925728409276698
DR2TP204,0.0019217928106258053
DR2TP205,0.0066673852547992725
DR2TP225,0.01251711976988801
DR2TP226,0.007562603954295958
DR2_300,0.04713892922357782
DR2_320Z,0.0017882266282364067
DR2_330Z,0.012066689513615851
DR2BWATZ,0.020308876901666877
DR2TWS,0.022973358525832186
LBX4PA,0.004444236304741153
LBXPLP,0.015038099176325335
PEASCST1,0.024859819606554492
PEASCTM1,0.013796562860980919
BPQ150A,0.014094504659412416
BPQ150B,0.025909919678502657
BPQ150C,0.002415517175919292
BPQ150D,0.0051071345307154336
BPAARM,0.016343039619352975
BPACSZ,0.042857680421728474
BPXPLS,0.042048651634668324
BPXPULS,0.07530829757881848
BPXPTY,0.0004140186261369092
