,0
WTDRD1,0.024515468242665282
WTDR2D,0.035949977792925775
DR2DRSTZ,0.040765508231482665
DR2EXMER,0.017381622639754304
DRABF,
DRDINT,0.02915436843945705
DR2DBIH,0.0027080092915177777
DR2DAY,0.004726440896662148
DR2LANG,0.020029962436314778
DR2MNRSP,0.02379003600109647
DR2HELPD,0.026370842796550876
DR2TNUMF,0.05368359082982792
DR2TKCAL,0.029009196446054254
DR2TPROT,0.03445116650409305
DR2TCARB,0.03138549015144814
DR2TSUGR,0.017853397286140313
DR2TFIBE,0.011997355426030469
DR2TTFAT,0.008102331803948587
DR2TSFAT,0.007597372130427016
DR2TMFAT,0.003760423360381188
DR2TPFAT,0.008976148225433654
DR2TCHOL,0.004196678201857863
DR2TATOC,0.009027418231667372
DR2TATOA,0.004166431394225409
DR2TRET,0.010539778014898568
DR2TVARA,0.0055603214668113205
DR2TACAR,0.01130530185901122
DR2TBCAR,0.0035543576024029003
DR2TCRYP,0.002873774531140769
DR2TLYCO,0.011932326125740094
DR2TLZ,0.0035107726913006097
DR2TVB1,0.029039941272799158
DR2TVB2,0.0061259331165385775
DR2TNIAC,0.03883245733980582
DR2TVB6,0.03142010891032541
DR2TFOLA,0.022236092482699053
DR2TFA,0.022374323334874147
DR2TFF,0.009913857512404443
DR2TFDFE,0.023107146425747356
DR2TCHL,0.008771468407867048
DR2TVB12,0.0020879681863552194
DR2TB12A,0.011652754597465405
DR2TVC,0.01506105758029118
DR2TVD,0.003996177904264438
DR2TVK,0.0010032709592010943
DR2TCALC,0.020760552686389603
DR2TPHOS,0.028330847159204593
DR2TMAGN,0.015651743892381133
DR2TIRON,0.018354335243301555
DR2TZINC,0.013088461174504224
DR2TCOPP,0.0013628918275463693
DR2TSODI,0.03030842530227072
DR2TPOTA,0.0028712261103361093
DR2TSELE,0.03156909676013052
DR2TCAFF,0.04097331499082466
DR2TTHEO,0.01135704327970859
DR2TALCO,0.01738356268425647
DR2TMOIS,0.002519446159529215
DR2TS040,0.009537346759082061
DR2TS060,0.002683930405603636
DR2TS080,0.0007692648014403959
DR2TS100,0.002959748103348614
DR2TS120,0.008138920138124959
DR2TS140,0.00896208627190883
DR2TS160,0.009962369120219555
DR2TS180,0.003475012757004025
DR2TM161,0.012651692577318196
DR2TM181,0.0027750141656090496
DR2TM201,0.009800316900334614
DR2TM221,0.009738472589150933
DR2TP182,0.009089696239882792
DR2TP183,0.005261932432730092
DR2TP184,0.02336293097091965
DR2TP204,0.012262446414666419
DR2TP205,0.003499558664457264
DR2TP225,0.012756608213498463
DR2TP226,0.006661138974838838
DR2_300,0.005394108388335627
DR2_320Z,0.012231181935057466
DR2_330Z,0.0031622509297545517
DR2BWATZ,0.01247997194612733
DR2TWS,0.019167488363088212
PEASCST1,0.013451069258092673
PEASCTM1,0.031237164040773598
BPQ150A,0.004222430050813029
BPQ150B,0.00181473622684091
BPQ150C,0.012580954132214633
BPQ150D,0.008505273880290326
BPAARM,0.018692341209900556
BPACSZ,0.04483967895915179
BPXPLS,0.029644046480977924
BPXPULS,0.04500271350625061
BPXPTY,0.01995748910776591
BPXML1,0.0754431412525154
BPXSY1,0.09859766194640811
BPXDI1,0.010437181112980969
BPAEN1,0.0026444080998431134
BPXSY2,0.09166163471958469
BPXDI2,0.008568050828015615
BPAEN2,0.01169121298661335
BPXSY3,0.0878414892999927
BPXDI3,0.006235552705969514
BPAEN3,0.00684360452263702
LBXIHG,0.0031303308735781657
LBDIHGSI,0.0031261347208078874
LBDIHGLC,0.010190540737268926
URXVOL1,0.02423041957456545
URDFLOW1,0.013178336653691414
URDTIME1,0.019353658102308838
IMQ011,0.00903851611106531
IMQ020,0.01984488811705135
PAQ685,0.06134712583227282
LBDHCV,0.009890897257815686
RDQ031,0.12062329226882457
RDQ050,0.13159417164259318
RDQ070,0.1502118473833367
RDQ140,0.08008575835669955
AGQ030,0.038723870986397214
LBXBCD,0.059287414987255885
LBDBCDSI,0.0592747040015632
LBDBCDLC,0.041193864401680026
LBXBPB,0.05491533554775068
LBDBPBSI,0.05495580402320616
LBDBPBLC,0.010512520376278136
LBXTHG,0.0163843686367308
LBDTHGSI,0.01638132222715308
LBDTHGLC,0.017748493887343578
LBXHBS,0.08704951227678041
DXASPNST,0.013733643352012583
DXXOSBCC,0.06531618799999771
DXXL1BCC,0.022867328576125716
DXXL2BCC,0.042664615227286894
DXXL3BCC,0.06105360102905974
DXXL4BCC,0.05130810254768908
DXXL1BMD,0.01645613144073931
DXXL1BMC,0.0018259798494224522
DXXL1A,0.019394066631945057
DXXL2BMD,0.027341235655221393
DXXL2BMC,0.010681558438378837
DXXL2A,0.00998712316457347
DXXL3BMD,0.020544339830460907
DXXL3BMC,0.015260086346179749
DXXL3A,0.006609514388050813
DXASPNK,0.025892113239556338
DXASPND0,0.07405210137030652
LBXVIDMS,0.03223749014666161
LBDVIDLC,
LBXVD2MS,0.058349705367157674
LBDVD2LC,0.04352070398191016
LBXVD3MS,0.00676631855803359
LBDVD3LC,
LBXVE3MS,0.013960672253279391
LBDVE3LC,0.007594547842283883
SLD010H,0.022834796391638847
SLQ050,0.19033980788334928
SLQ060,0.08456751043102793
DXAFMRST,0.003648318254957814
DXXFMBCC,0.04999893200110922
DXXOFBMD,0.05775398225086624
DXXOFBMC,0.018332182251776016
DXXOFA,0.027735545659303213
DXXNKBMD,0.08590527976964717
DXXNKBMC,0.060337066788012754
DXXNKA,0.025891854635900508
DXXTRBMD,0.045726436411259036
DXXTRBMC,0.0052465018683984935
DXXTRA,0.037017632831014384
