,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.8305499304572613,0.0,0.0,0.0,0.8305525136884022,Normalizer,StratifiedKFold
1,SGDClassifier,0.2745131749465809,0.18854331550802142,0.10194167440971764,0.7217413747544497,0.07726961598707019,0.17560975609756097,0.0922513547833241,0.7185863613738178,Normalizer,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.8305499304572613,0.0,0.0,0.0,0.8305525136884022,Normalizer,StratifiedKFold
3,RandomForestClassifier,1.0,0.9997333333333334,0.9998664886515354,0.9999547511312217,0.225,0.007142857142857143,0.01365015166835187,0.8281068524970964,Normalizer,StratifiedKFold
4,KNeighborsClassifier,1.0,1.0,1.0,1.0,0.22099206349206352,0.05058072009291521,0.08083980246588679,0.8089746142359383,Normalizer,StratifiedKFold
5,MLPClassifier,0.02222222222222222,0.0021333333333333334,0.0038929440389294406,0.8296449530816957,0.2,0.004819976771196283,0.009413067552602437,0.8289182014269123,Normalizer,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.8305499304572613,0.0,0.0,0.0,0.8305525136884022,Normalizer,StratifiedKFold
