,name,xShape,yShape,time,truePercent
0,handpicked,"(23302, 43)","(23302,)",0 days 00:12:47.719393,0.10290962149171745
1,correlation,"(23302, 770)","(23302,)",0 days 01:19:44.714398,0.10290962149171745
