,model,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,precision,recall,f1,accuracy,scaler
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,Normalizer
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,Normalizer
8,KNeighborsClassifier,StratifiedKFold,0.35,0.13333333333333333,0.19,0.9683605720122573,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9662162162162162,Normalizer
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,Normalizer
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,Normalizer
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,Normalizer
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,Normalizer
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,Normalizer
0,LogisticRegression,StratifiedKFold,0.1,0.03333333333333333,0.05,0.9649514811031666,0.3166666666666666,0.018518518518518517,0.03451559934318556,0.9657246395087103,0.0,0.0,0.0,0.9662162162162162,StandardScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,StandardScaler
2,SGDClassifier,StratifiedKFold,0.0,0.0,0.0,0.9638278855975487,0.03333333333333333,0.01111111111111111,0.016666666666666666,0.965474013732401,0.0,0.0,0.0,0.9662162162162162,StandardScaler
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.7666666666666667,0.0526984126984127,0.3,0.08100250626566416,0.7925925925925926,0.0,0.0,0.0,0.9628378378378378,StandardScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,StandardScaler
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,StandardScaler
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,StandardScaler
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,StandardScaler
8,KNeighborsClassifier,StratifiedKFold,0.3,0.1,0.15,0.9672369765066394,0.8242857142857144,0.19259259259259257,0.3074905824398725,0.9711238122860223,0.0,0.0,0.0,0.956081081081081,StandardScaler
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.956081081081081,StandardScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,StandardScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,StandardScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,StandardScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,StandardScaler
0,LogisticRegression,StratifiedKFold,0.1,0.03333333333333333,0.05,0.9649514811031666,0.29999999999999993,0.018518518518518517,0.03428571428571429,0.9655990113680069,0.0,0.0,0.0,0.9662162162162162,RobustScaler
1,LogisticRegression,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,RobustScaler
2,SGDClassifier,StratifiedKFold,0.10151515151515152,0.13333333333333333,0.1019047619047619,0.9469356486210421,0.32050859271447507,0.2444444444444444,0.2396257757603501,0.9502750578488428,0.0,0.0,0.0,0.9628378378378378,RobustScaler
3,SGDClassifier,BalancedKFold,0.0,0.0,0.0,0.75,0.01111111111111111,0.2,0.021052631578947368,0.7703703703703704,0.05,0.1,0.06666666666666667,0.9054054054054054,RobustScaler
4,RidgeClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,RobustScaler
5,RidgeClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,RobustScaler
6,RandomForestClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,RobustScaler
7,RandomForestClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628378378378378,RobustScaler
8,KNeighborsClassifier,StratifiedKFold,0.2,0.06666666666666667,0.1,0.9661006128702759,0.8443650793650793,0.22592592592592592,0.3504665377687689,0.9722539926735306,0.0,0.0,0.0,0.956081081081081,RobustScaler
9,KNeighborsClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.956081081081081,RobustScaler
10,MLPClassifier,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,RobustScaler
11,MLPClassifier,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,RobustScaler
12,LinearSVC,StratifiedKFold,0.0,0.0,0.0,0.9661006128702759,0.0,0.0,0.0,0.9661016815570955,0.0,0.0,0.0,0.9662162162162162,RobustScaler
13,LinearSVC,BalancedKFold,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.9662162162162162,RobustScaler
