,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
5,MLPClassifier,0.24734265734265737,0.057666666666666665,0.0933295647258338,0.9240499501943195,0.05,0.02857142857142857,0.03636363636363636,0.9174948240165632,Normalizer,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,Normalizer,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,StandardScaler,StratifiedKFold
1,SGDClassifier,0.05728920202799903,0.09925900733778548,0.06095061823899746,0.8882243786476837,0.032524567348160525,0.08672268907563026,0.045894870587849836,0.8853515017942415,StandardScaler,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,StandardScaler,StratifiedKFold
3,RandomForestClassifier,1.0,0.9980728007255338,0.9990327733302371,0.9999114303986264,0.0,0.0,0.0,0.9535012432539347,StandardScaler,StratifiedKFold
4,KNeighborsClassifier,0.5740151515151515,0.01797963558413719,0.034802152689282106,0.9542388184909308,0.05,0.002857142857142857,0.005405405405405405,0.9529696815574582,StandardScaler,StratifiedKFold
5,MLPClassifier,0.8710418925794314,0.23570059361860007,0.3706224132715479,0.9632581816517899,0.1164598146951088,0.03159663865546218,0.047736559435558185,0.9411455242858354,StandardScaler,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,StandardScaler,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,StandardScaler,BalancedKFold
1,SGDClassifier,0.09892445662449326,0.14241598472449538,0.10866775143471066,0.8693016366198201,0.1146218487394958,0.1394047619047619,0.1165151515151515,0.8798964803312629,StandardScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,StandardScaler,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.2,0.02857142857142857,0.05,0.9218426501035196,StandardScaler,BalancedKFold
4,KNeighborsClassifier,0.6083333333333333,0.0346440823465229,0.06520377168767846,0.9222845581745831,0.0,0.0,0.0,0.9189440993788821,StandardScaler,BalancedKFold
5,MLPClassifier,1.0,1.0,1.0,1.0,0.16916666666666666,0.1769047619047619,0.15358585858585858,0.869855072463768,StandardScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,StandardScaler,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,RobustScaler,StratifiedKFold
1,SGDClassifier,0.06161290201439253,0.05234355676477863,0.04573181535637174,0.9166113847498087,0.040039553168423135,0.04336134453781513,0.03624279264191432,0.9139080204006669,RobustScaler,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,RobustScaler,StratifiedKFold
3,RandomForestClassifier,1.0,0.9980728007255338,0.9990327733302371,0.9999114303986264,0.0,0.0,0.0,0.9535012432539347,RobustScaler,StratifiedKFold
4,KNeighborsClassifier,0.485952380952381,0.012846277516695523,0.024994942638348585,0.9539731140446923,0.0,0.0,0.0,0.9523056709332882,RobustScaler,StratifiedKFold
5,MLPClassifier,0.8285629893433283,0.1984582405804271,0.3193842273811131,0.9612358649361517,0.08568181818181819,0.025882352941176474,0.039376468545563884,0.942076198751095,RobustScaler,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.954032154635098,0.0,0.0,0.0,0.9540324517532707,RobustScaler,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,RobustScaler,BalancedKFold
1,SGDClassifier,0.1594747474747475,0.04066904945284169,0.05265118116029536,0.9071952434284889,0.125,0.04583333333333333,0.06666666666666667,0.9029813664596272,RobustScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,RobustScaler,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.2,0.02857142857142857,0.05,0.9218426501035196,RobustScaler,BalancedKFold
4,KNeighborsClassifier,1.0,0.03657009048562759,0.0701287573245715,0.9234084117407214,0.1,0.014285714285714285,0.025,0.9204140786749482,RobustScaler,BalancedKFold
5,MLPClassifier,1.0,1.0,1.0,1.0,0.16884920634920633,0.17797619047619045,0.14837301587301588,0.8626293995859214,RobustScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9205186500338061,0.0,0.0,0.0,0.9203933747412009,RobustScaler,BalancedKFold
