,model,train_accuracy,train_f1,train_precision,train_recall,test_accuracy,test_f1,test_precision,test_recall
0,LogisticRegression,0.9593386961246461,0.0,0.0,0.0,0.959338765214606,0.0,0.0,0.0
1,SGDClassifier,0.9323940160809814,0.11828322020083223,0.14961578022174746,0.19052205478894194,0.9331628363228698,0.10340659588810837,0.10918830888953211,0.17398959373959372
2,RidgeClassifier,0.9593387601923017,0.0,0.0,0.0,0.9593439702114032,0.0,0.0,0.0
3,RandomForestClassifier,0.9959785570485509,0.9479739432869039,1.0,0.9011512308166619,0.9863713164638049,0.8063584357286089,0.9271953463203465,0.728877136752137
4,KNeighborsClassifier,0.9872057877734273,0.8312765470948653,0.9061426556938783,0.7719271579977497,0.9834689301729661,0.7713132883445141,0.8655152070152069,0.7163449883449884
5,MLPClassifier,0.9739599774284722,0.6024734484279299,0.7979028203234525,0.4872964833624275,0.9723882927610507,0.569204273919646,0.7799920634920633,0.47367742878036995
