,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.7680262239387903,0.0,0.0,0.0,0.7680265428002655,MinMaxScaler,BalancedKFold
1,SGDClassifier,0.1434367747465179,0.2730039006600772,0.15186883552305508,0.6291020006836586,0.1486250041518584,0.26772543632837753,0.14859206682214932,0.6217889847378899,MinMaxScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.7680262239387903,0.0,0.0,0.0,0.7680265428002655,MinMaxScaler,BalancedKFold
3,RandomForestClassifier,0.26878509770589326,0.6501734725713313,0.3801423623681218,0.5082149045431865,0.26336846910985423,0.6374185362347563,0.37125453800968206,0.5039946914399469,MinMaxScaler,BalancedKFold
4,KNeighborsClassifier,0.2626354762411781,0.14375702153109776,0.175828864513422,0.7189873732710443,0.2789156667529452,0.15792578973500176,0.18397834123256152,0.7133722627737227,MinMaxScaler,BalancedKFold
5,MLPClassifier,0.1323688663296462,0.23801630848351635,0.16081419529893418,0.6209691646399201,0.1338504880359042,0.24734667209720662,0.16283151534920992,0.616688785666888,MinMaxScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.7680262239387903,0.0,0.0,0.0,0.7680265428002655,MinMaxScaler,BalancedKFold
