,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_drop,param_model,param_replacement,param_scaling,param_selection,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auc_roc,split1_test_auc_roc,split2_test_auc_roc,split3_test_auc_roc,split4_test_auc_roc,split5_test_auc_roc,split6_test_auc_roc,split7_test_auc_roc,split8_test_auc_roc,split9_test_auc_roc,mean_test_auc_roc,std_test_auc_roc,rank_test_auc_roc,param_samplers,param_kus__kw_args
0,0.009288644790649414,0.0004977759735416624,0.004040718078613281,0.0001700323681281716,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5693430656934306,0.5942028985507246,0.547945205479452,0.5847457627118644,0.5891472868217055,0.574468085106383,0.6261682242990654,0.6016949152542372,0.5299145299145299,0.625,0.5842629973831392,0.029040655570649047,5,0.4262295081967213,0.44808743169398907,0.4371584699453552,0.3770491803278688,0.41530054644808745,0.4426229508196721,0.366120218579235,0.3879781420765027,0.33879781420765026,0.35714285714285715,0.3996487119437939,0.0371917675317547,8,0.48749999999999993,0.5109034267912772,0.486322188449848,0.45847176079734214,0.48717948717948717,0.5,0.4620689655172414,0.4717607973421927,0.4133333333333333,0.45454545454545453,0.4732085413956176,0.026432551259037356,8,0.7201365187713311,0.7320819112627986,0.71160409556314,0.7218430034129693,0.726962457337884,0.7235494880546075,0.7337883959044369,0.7286689419795221,0.6991452991452991,0.7333333333333333,0.7231113444765322,0.010305900568722772,3,0.6399137615425294,0.654564807658409,0.6366933788932732,0.6277305454989219,0.6418934494027038,0.646869788064923,0.633432317726342,0.6356764159514028,0.6009909469048201,0.630184331797235,0.634794974344056,0.013540132677064205,6,,
1,0.006106257438659668,0.00019177342576628994,0.0038255929946899416,9.644401670503471e-05,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5652173913043478,0.5827338129496403,0.5374149659863946,0.5916666666666667,0.5846153846153846,0.5793103448275863,0.6160714285714286,0.6033057851239669,0.5254237288135594,0.6285714285714286,0.5814330937430403,0.030592312659062367,6,0.4262295081967213,0.4426229508196721,0.43169398907103823,0.3879781420765027,0.41530054644808745,0.45901639344262296,0.3770491803278688,0.3989071038251366,0.33879781420765026,0.3626373626373626,0.40402329910526624,0.0358866519332621,7,0.48598130841121495,0.5031055900621119,0.4787878787878788,0.46864686468646866,0.4856230031948882,0.5121951219512195,0.46779661016949153,0.48026315789473684,0.4119601328903654,0.4599303135888501,0.4754289981637226,0.025962316018782516,6,0.7184300341296929,0.726962457337884,0.7064846416382252,0.7252559726962458,0.7252559726962458,0.726962457337884,0.7320819112627986,0.7303754266211604,0.6974358974358974,0.7350427350427351,0.722428750619877,0.011257833674820247,5,0.6386730667534476,0.6493511776430867,0.6314797488779509,0.6331950263732389,0.6406527546136219,0.6538258145873165,0.6351747142334133,0.6399002020366378,0.5997471658102927,0.6329315845444878,0.6354931255473494,0.013748142363186673,5,,
2,0.2680573225021362,0.00909915134925033,0.017183327674865724,0.00016538701582683083,DropTransformer(),RandomForestClassifier(random_state=999),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=999), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5379310344827586,0.5227272727272727,0.5212121212121212,0.5533333333333333,0.5225806451612903,0.5126582278481012,0.5033112582781457,0.5306122448979592,0.4723926380368098,0.5294117647058824,0.5206170540683674,0.020602112085043395,9,0.4262295081967213,0.5027322404371585,0.46994535519125685,0.453551912568306,0.4426229508196721,0.4426229508196721,0.41530054644808745,0.4262295081967213,0.4207650273224044,0.3956043956043956,0.4395604395604396,0.02890987718512456,5,0.4756097560975609,0.5125348189415042,0.49425287356321834,0.4984984984984986,0.4792899408284024,0.4750733137829912,0.45508982035928147,0.4727272727272728,0.44508670520231214,0.4528301886792453,0.47609931886802875,0.020313289338052275,5,0.7064846416382252,0.7013651877133106,0.6996587030716723,0.7150170648464164,0.6996587030716723,0.6945392491467577,0.689419795221843,0.7030716723549488,0.6717948717948717,0.7025641025641025,0.6983573991423822,0.01093607665387542,9,0.6299882032298744,0.6471477579357009,0.6369577892581595,0.6436494054156667,0.6295000610177766,0.6257779766505309,0.6145981640429024,0.6275068136517107,0.603417339531849,0.6183977313009571,0.6276941242035129,0.012563242554193397,9,,
3,0.2601765155792236,0.005456289500819889,0.017473936080932617,0.0010558855916627929,DropTransformer(),RandomForestClassifier(random_state=999),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=999), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5517241379310345,0.52,0.5123456790123457,0.5503355704697986,0.5125,0.5125,0.49333333333333335,0.5374149659863946,0.4695121951219512,0.5328467153284672,0.5192512597183325,0.024125917517136095,10,0.4371584699453552,0.4972677595628415,0.453551912568306,0.44808743169398907,0.44808743169398907,0.44808743169398907,0.40437158469945356,0.43169398907103823,0.4207650273224044,0.4010989010989011,0.4390169939350267,0.02622886772553503,6,0.4878048780487805,0.5083798882681565,0.48115942028985503,0.49397590361445787,0.47813411078717194,0.47813411078717194,0.4444444444444444,0.4787878787878788,0.4438040345821326,0.45768025078369906,0.47523049203937495,0.019790076367386892,7,0.7133105802047781,0.6996587030716723,0.6945392491467577,0.7133105802047781,0.6945392491467577,0.6945392491467577,0.6843003412969283,0.7064846416382252,0.67008547008547,0.7042735042735043,0.697504156821563,0.012582918745867777,10,0.6379340736823551,0.6444155174985424,0.6287610679466841,0.6409171649785083,0.6272695222986074,0.6272695222986074,0.6078929883795035,0.6314797488779509,0.6021735584373217,0.6211449840482098,0.6269258148446292,0.01286667309014756,10,,
4,0.02075188159942627,0.0019139305990398022,0.0031886577606201174,0.00022954939805376693,DropTransformer(),LinearSVC(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5639097744360902,0.5869565217391305,0.5319148936170213,0.5964912280701754,0.5873015873015873,0.572463768115942,0.638095238095238,0.6017699115044248,0.5304347826086957,0.6336633663366337,0.5843001071824939,0.034644016454119374,4,0.4098360655737705,0.4426229508196721,0.4098360655737705,0.37158469945355194,0.40437158469945356,0.43169398907103823,0.366120218579235,0.37158469945355194,0.3333333333333333,0.3516483516483517,0.3892631958205729,0.03380246574858087,10,0.4746835443037975,0.5046728971962617,0.46296296296296297,0.4579124579124579,0.4789644012944984,0.49221183800623053,0.46527777777777785,0.45945945945945954,0.40939597315436244,0.4522968197879859,0.4657838131855795,0.024362657724432343,10,0.7167235494880546,0.7286689419795221,0.7030716723549488,0.7252559726962458,0.7252559726962458,0.7218430034129693,0.7372013651877133,0.726962457337884,0.6991452991452991,0.7350427350427351,0.7219170969341618,0.011831794938493175,6,0.6329577350201357,0.6505918724321686,0.6230321767074809,0.6287203894290092,0.6376696633174687,0.6426460019796879,0.6359137073045058,0.629961084218091,0.599502487562189,0.6299184686281462,0.6310913586598883,0.012864191371283886,8,,
5,0.04559593200683594,0.006491683376677992,0.003342413902282715,0.00024351024759155225,DropTransformer(),LinearSVC(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5639097744360902,0.5899280575539568,0.5352112676056338,0.5964912280701754,0.5873015873015873,0.572463768115942,0.638095238095238,0.6017699115044248,0.5304347826086957,0.6372549019607843,0.5852860517252528,0.034713048969804615,3,0.4098360655737705,0.44808743169398907,0.41530054644808745,0.37158469945355194,0.40437158469945356,0.43169398907103823,0.366120218579235,0.37158469945355194,0.3333333333333333,0.35714285714285715,0.39090554254488685,0.03447268696261921,9,0.4746835443037975,0.5093167701863355,0.4676923076923077,0.4579124579124579,0.4789644012944984,0.49221183800623053,0.46527777777777785,0.45945945945945954,0.40939597315436244,0.45774647887323944,0.4672661008660467,0.02484866504178225,9,0.7167235494880546,0.7303754266211604,0.7047781569965871,0.7252559726962458,0.7252559726962458,0.7218430034129693,0.7372013651877133,0.726962457337884,0.6991452991452991,0.7367521367521368,0.7224293340334296,0.011872805233140694,4,0.6329577350201357,0.653324112869327,0.6257644171446393,0.6287203894290092,0.6376696633174687,0.6426460019796879,0.6359137073045058,0.629961084218091,0.599502487562189,0.6326657213753988,0.6319125320220453,0.013140339040206341,7,,
6,0.006041264533996582,0.0013716415942721175,0.015979647636413574,0.003941946096079372,DropTransformer(),KNeighborsClassifier(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5515151515151515,0.5595238095238095,0.5675675675675675,0.5673758865248227,0.5608108108108109,0.5342465753424658,0.5405405405405406,0.6223776223776224,0.4768211920529801,0.5565217391304348,0.5537300895386206,0.03413959642706084,7,0.4972677595628415,0.5136612021857924,0.45901639344262296,0.4371584699453552,0.453551912568306,0.4262295081967213,0.4371584699453552,0.48633879781420764,0.39344262295081966,0.3516483516483517,0.4455473488260373,0.0461191696524079,3,0.5229885057471264,0.5356125356125356,0.5075528700906344,0.4938271604938272,0.5015105740181269,0.47416413373860183,0.4833836858006042,0.5460122699386503,0.4311377245508982,0.430976430976431,0.49271658909674365,0.03732380460531686,3,0.7167235494880546,0.7218430034129693,0.7218430034129693,0.7201365187713311,0.7184300341296929,0.7047781569965871,0.7081911262798635,0.7474402730375427,0.6752136752136753,0.7111111111111111,0.7145710451853797,0.017129583177688167,7,0.6568224653893612,0.6650191867008367,0.6501037302200708,0.6428968528386826,0.6461307949938304,0.6287475084407924,0.6342119893151094,0.676171880296682,0.5984626050077483,0.6125487415809997,0.6411115754784114,0.022343039502708363,3,,
7,0.0057615995407104496,0.0008225833112933901,0.013010692596435548,0.0006681636317579706,DropTransformer(),KNeighborsClassifier(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5231788079470199,0.5375,0.5471698113207547,0.5608108108108109,0.572463768115942,0.543046357615894,0.5684931506849316,0.635036496350365,0.45569620253164556,0.5897435897435898,0.5533138995120953,0.04414705668395201,8,0.43169398907103823,0.46994535519125685,0.47540983606557374,0.453551912568306,0.43169398907103823,0.44808743169398907,0.453551912568306,0.47540983606557374,0.39344262295081966,0.3791208791208791,0.4411907764366781,0.03136049962043311,4,0.4730538922155688,0.5014577259475219,0.5087719298245614,0.5015105740181269,0.49221183800623053,0.4910179640718563,0.5045592705167173,0.54375,0.4222873900293255,0.46153846153846156,0.490015904616837,0.030668136956394025,4,0.6996587030716723,0.7081911262798635,0.7133105802047781,0.7184300341296929,0.7218430034129693,0.7098976109215017,0.7218430034129693,0.7508532423208191,0.6632478632478632,0.7247863247863248,0.7132061491788454,0.021079267018443797,8,0.6265169697216234,0.6431612632035689,0.648374893218891,0.6461307949938304,0.6426460019796879,0.6384357754003445,0.6486121845719942,0.6756701785786924,0.5897561373460566,0.630007089684509,0.6389311288699198,0.020660033393635226,4,,
8,1.6182732820510863,0.2769514078956011,0.0044400691986083984,0.00032829947459941407,DropTransformer(),MLPClassifier(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': MLPClassifier(), 'replacement': SimpleImputer(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5590062111801242,0.5923566878980892,0.5874125874125874,0.5833333333333334,0.5850340136054422,0.6206896551724138,0.6068376068376068,0.6578947368421053,0.527027027027027,0.6068376068376068,0.5926429466146336,0.03325097439616732,2,0.4918032786885246,0.5081967213114754,0.45901639344262296,0.45901639344262296,0.46994535519125685,0.4918032786885246,0.3879781420765027,0.4098360655737705,0.4262295081967213,0.3901098901098901,0.44939350267219125,0.04129204539226159,2,0.5232558139534883,0.5470588235294117,0.5153374233128835,0.5137614678899083,0.5212121212121212,0.5487804878048781,0.47333333333333333,0.5050505050505051,0.4712990936555891,0.4749163879598662,0.5094005457701984,0.027046841047238094,2,0.7201365187713311,0.7372013651877133,0.7303754266211604,0.7286689419795221,0.7303754266211604,0.7474402730375427,0.7303754266211604,0.7491467576791809,0.7008547008547008,0.7316239316239316,0.7306198768997405,0.012924190764383649,2,0.6578123093194485,0.674693894154497,0.6563072041654803,0.6550665093763983,0.6592902954616334,0.6776634259447585,0.6369171107404846,0.6565309360126916,0.6260500774814453,0.6379829847571783,0.6538314747414016,0.015404110573017923,2,,
9,2.143248200416565,0.31818264710163935,0.004356765747070312,0.0007715702130557153,DropTransformer(),MLPClassifier(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': MLPClassifier(), 'replacement': SimpleImputer(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5958904109589042,0.5792682926829268,0.5696969696969697,0.5862068965517241,0.6068965517241379,0.6095890410958904,0.6044776119402985,0.6638655462184874,0.549618320610687,0.632,0.5997509641480026,0.030586399470150866,1,0.47540983606557374,0.5191256830601093,0.5136612021857924,0.4644808743169399,0.4808743169398907,0.48633879781420764,0.4426229508196721,0.43169398907103823,0.39344262295081966,0.4340659340659341,0.46417162072899776,0.037140287816554415,1,0.5288753799392097,0.547550432276657,0.5402298850574713,0.5182926829268293,0.5365853658536585,0.541033434650456,0.5110410094637223,0.5231788079470199,0.4585987261146497,0.5146579804560261,0.52200437046857,0.024116982671159193,1,0.735494880546075,0.7320819112627986,0.726962457337884,0.7303754266211604,0.7406143344709898,0.742320819112628,0.735494880546075,0.7542662116040956,0.7094017094017094,0.7452991452991453,0.7352311776202562,0.011454720967800444,1,0.6645039254769556,0.6739549010834045,0.6687412710680823,0.6577987498135569,0.669717555492278,0.6724497959294362,0.6555546515884961,0.6662192029722437,0.6233382268982954,0.6599610067352003,0.6612239287057948,0.013904153895240069,1,,
