,model,train_accuracy,train_f1,train_precision,train_recall,test_accuracy,test_f1,test_precision,test_recall,normalizer,foldingStrat
0,LogisticRegression,0.9772358153874775,0.005709012515236756,0.06935333430106948,0.002978948944688766,0.9771617126952199,0.005113968439509059,0.05833333333333333,0.0026785714285714286,StandardScaler,StratifiedKFold
1,SGDClassifier,0.967806989009382,0.1162145003988011,0.24915062226245138,0.12105263157894738,0.9678033012000471,0.12886098545487196,0.1601401379652349,0.13392857142857142,StandardScaler,StratifiedKFold
2,RidgeClassifier,0.9780446171362627,0.0,0.0,0.0,0.9780446196226487,0.0,0.0,0.0,StandardScaler,StratifiedKFold
3,RandomForestClassifier,0.9982733928438294,0.9591023352346802,0.9991388560019742,0.9221527679261046,0.9927404121425816,0.818468914163927,0.9048345402524595,0.7488819176319177,StandardScaler,StratifiedKFold
4,KNeighborsClassifier,0.9930804875562235,0.8333436329408445,0.8981888495905797,0.781253645119087,0.9908176509160281,0.7771974242016207,0.8438248557180884,0.7256354568854569,StandardScaler,StratifiedKFold
5,MLPClassifier,0.9933333773425905,0.8262993004257962,0.9656939244080339,0.7223713765545942,0.9927796701602724,0.8115395484858932,0.9469914132655614,0.7122184684684685,StandardScaler,StratifiedKFold
6,LinearSVC,0.9780446171362627,0.0,0.0,0.0,0.9780446196226487,0.0,0.0,0.0,StandardScaler,StratifiedKFold
7,OneClassSVM,,,,,,,,,StandardScaler,StratifiedKFold
