,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_drop,param_model,param_replacement,param_samplers,param_scaling,param_selection,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auc_roc,split1_test_auc_roc,split2_test_auc_roc,split3_test_auc_roc,split4_test_auc_roc,split5_test_auc_roc,split6_test_auc_roc,split7_test_auc_roc,split8_test_auc_roc,split9_test_auc_roc,mean_test_auc_roc,std_test_auc_roc,rank_test_auc_roc,pipeline
0,2.0826884746551513,0.14825172858249988,0.03751139640808106,0.006226445527058987,DropTransformer(),LogisticRegression(),SimpleImputer(),RandomUnderSampler(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.34690101757631825,0.35175879396984927,0.3419047619047619,0.3427458617332035,0.35912129894937916,0.35394862036156044,0.33940556088207097,0.35822306238185253,0.3404669260700389,0.3565656565656566,0.3491041560394692,0.007317547562005579,6,0.7485029940119761,0.6986027944111777,0.716566866267465,0.7025948103792415,0.7504990019960079,0.744,0.708,0.758,0.7,0.706,0.7232766467065869,0.0227328244922881,6,0.4740834386852086,0.46791443850267384,0.4629271437782076,0.4607329842931937,0.48578811369509045,0.4796905222437137,0.4588464031108231,0.4865211810012837,0.4581151832460733,0.4738255033557047,0.47084449119119726,0.010228399217994007,6,0.705173635719348,0.717830556540234,0.7047146401985112,0.7079049982275789,0.717830556540234,0.7139312300602623,0.7040056717476072,0.7164126196384261,0.706487061325771,0.7220843672456576,0.711637533724363,0.006342860701376183,7,0.7221618804613952,0.7102927765159337,0.7093610193406291,0.7058232672585862,0.7306374320324867,0.7257268418785007,0.7055725980180957,0.7327268418785007,0.7039422662645411,0.7157746660922016,0.716201958974087,0.010298537706354019,6,normal
1,2.1764944553375245,0.19452383342292343,0.04170393943786621,0.006336640726583522,DropTransformer(),LogisticRegression(),SimpleImputer(),RandomUnderSampler(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3516279069767442,0.3448616600790514,0.33942307692307694,0.33587786259541985,0.36284889316650626,0.356513222331048,0.34299516908212563,0.36015325670498083,0.3425468904244817,0.35039370078740156,0.3487241639070836,0.008599170592883584,7,0.7544910179640718,0.6966067864271457,0.7045908183632734,0.7025948103792415,0.7524950099800399,0.728,0.71,0.752,0.694,0.712,0.7206778443113773,0.022927248440250136,7,0.4796954314720812,0.4613350958360873,0.45814406229720955,0.45448676565526147,0.48961038961038966,0.47863247863247854,0.4625407166123779,0.4870466321243523,0.4586913417052214,0.4696569920844327,0.4699839906029892,0.0121804028732569,7,0.7094259390503189,0.7110953562566465,0.7040056717476072,0.7004608294930875,0.7213753987947537,0.7188940092165899,0.7075505140021269,0.7192484934420418,0.7096774193548387,0.7149946827366183,0.7116728314094629,0.006523511871785695,5,0.7270947119118075,0.7054154621790901,0.7042350643540505,0.7012974051896207,0.7335750911969166,0.7224661783713916,0.7085114174924602,0.7320965101249461,0.7035273588970271,0.7138199052132701,0.715203910493058,0.01187248449995694,7,normal
2,2.4509080410003663,0.22429894969133932,0.0705899715423584,0.0077439714088625225,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),RandomUnderSampler(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3647260273972603,0.3701707097933513,0.35944299390774587,0.35376532399299476,0.35519591141396933,0.36379613356766255,0.3631484794275492,0.3582608695652174,0.371480472297911,0.3721565059144677,0.36321434272781294,0.006258189805793401,1,0.8502994011976048,0.8223552894211577,0.8243512974051896,0.8063872255489022,0.8323353293413174,0.828,0.812,0.824,0.818,0.818,0.823572854291417,0.01142081429074779,1,0.5104853205512283,0.5105328376703842,0.5006060606060605,0.4917833231892879,0.49791044776119403,0.5054945054945055,0.5018541409147095,0.49939393939393933,0.5109306683322923,0.5115697310819263,0.5040560974995528,0.00644936887718589,1,0.7104890148830617,0.7199574618929457,0.7079049982275789,0.7040056717476072,0.7018787663948954,0.7128677773839064,0.7142857142857143,0.707196029776675,0.7224388514711095,0.7231478199220135,0.7124172105985508,0.00713638906393251,4,0.7653048061567516,0.7601000585036823,0.7535549590474224,0.7441418886365202,0.7530211129465207,0.7580327445066781,0.7526178371391642,0.753016803102111,0.7599263248599741,0.7603571736320551,0.7560073708530879,0.00563673381528339,1,normal
3,2.718335676193237,0.21573966673824707,0.07541482448577881,0.008566871463615485,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),RandomUnderSampler(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3646649260226284,0.36818181818181817,0.35972461273666095,0.35008517887563884,0.36484098939929327,0.3561887800534283,0.35752212389380533,0.3671111111111111,0.3703374777975133,0.37303785780240073,0.36316948758742984,0.006768635123333445,2,0.8363273453093812,0.8083832335329342,0.8343313373253493,0.8203592814371258,0.8243512974051896,0.8,0.808,0.826,0.834,0.808,0.819975249500998,0.012433726086425284,2,0.5078787878787879,0.5059337913803872,0.502705953096813,0.4907462686567164,0.5058175137783222,0.4929143561306223,0.4957055214723927,0.5083076923076923,0.5129151291512914,0.5104232469993684,0.5033348260852394,0.007252468588316343,2,0.7122608079376329,0.7196029776674938,0.7068415455512229,0.6976249556894718,0.7139312300602623,0.7082594824530308,0.7086139666784828,0.7167671038638781,0.7192484934420418,0.7252747252747253,0.7128425288618241,0.007514631746529262,3,0.7609038708451258,0.7544071340078464,0.7568208410764676,0.7457399855461493,0.7572187521508706,0.7442481688927187,0.7476018957345971,0.7596178371391642,0.7642641102972856,0.7577268418785007,0.7548549437568727,0.006433510735810433,2,normal
4,2.274116277694702,0.1376978434106083,0.033997201919555665,0.009272493752369706,DropTransformer(),LinearSVC(),SimpleImputer(),RandomUnderSampler(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.354382657869934,0.35429141716566864,0.3390151515151515,0.3389513108614232,0.35904761904761906,0.35311004784688993,0.3438423645320197,0.35414725069897485,0.34442270058708413,0.3556650246305419,0.3496875544755307,0.006994532871582505,5,0.7504990019960079,0.7085828343313373,0.7145708582834331,0.7225548902195609,0.7524950099800399,0.738,0.698,0.76,0.704,0.722,0.7270702594810379,0.02078601409790149,5,0.4814340588988476,0.47238855622089154,0.45985870263326906,0.46144040790312296,0.4861379754996777,0.4776699029126213,0.4607260726072608,0.4831532104259377,0.46254927726675427,0.47656765676567653,0.472192582113406,0.009702592395742763,5,0.7129695251594613,0.7188940092165899,0.7018787663948954,0.7004608294930875,0.7174760723147819,0.7139312300602623,0.7103863878057426,0.7118043247075505,0.7100319035802907,0.7188940092165899,0.7116727057949253,0.006088906060162265,6,0.7276837965602616,0.7148517619932547,0.7068543946589579,0.7091222726959873,0.7312044015417442,0.7233731150366222,0.7055273588970271,0.7307109004739336,0.7076656613528651,0.7201124515295132,0.7177106114740168,0.009682508872358619,5,normal
5,2.9831660985946655,0.26540310766663966,0.044275212287902835,0.008274099638167897,DropTransformer(),LinearSVC(),SimpleImputer(),RandomUnderSampler(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': LinearSVC(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3493975903614458,0.35992023928215355,0.3420038535645472,0.34476190476190477,0.36363636363636365,0.3572815533980582,0.3416988416988417,0.36566440349175555,0.3476144109055501,0.3551587301587302,0.3527137891259351,0.008378909602755056,4,0.7524950099800399,0.720558882235529,0.7085828343313373,0.7225548902195609,0.7664670658682635,0.736,0.708,0.754,0.714,0.716,0.7298658682634731,0.019967352862558616,4,0.47721518987341777,0.4800531914893617,0.4613385315139701,0.4667956157317859,0.49325626204238926,0.48104575163398683,0.4609375,0.4924885695623775,0.4675834970530452,0.47480106100795755,0.4755515169908292,0.010999263719722896,4,0.7072997873848335,0.7227933356965615,0.7061325771003191,0.7068415455512229,0.7203119461183978,0.7185395249911379,0.706487061325771,0.7245657568238213,0.7118043247075505,0.7192484934420418,0.7144024353141656,0.007033000513637306,2,0.7250195859895892,0.7219173721522472,0.7070931413035996,0.713001583040815,0.7384059467272351,0.725389056441189,0.7070805687203792,0.7361124515295132,0.7126656613528651,0.7179741490736752,0.7204659516331107,0.010461866420840054,4,normal
6,1.9635413885116577,0.28658979684001057,0.12198793888092041,0.015247833631206091,DropTransformer(),KNeighborsClassifier(),SimpleImputer(),RandomUnderSampler(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3140655105973025,0.3223552894211577,0.30300096805421106,0.3018147086914995,0.3149381541389153,0.30606617647058826,0.30879541108986613,0.2988165680473373,0.3083743842364532,0.3080660835762877,0.3086293254323619,0.006626784176838177,10,0.6506986027944112,0.6447105788423154,0.624750499001996,0.6307385229540918,0.6606786427145709,0.666,0.646,0.606,0.626,0.634,0.6389576846307385,0.017238659877638847,9,0.4236517218973359,0.4298070525615436,0.40808344198174706,0.4082687338501292,0.4265463917525773,0.4193954659949623,0.4178525226390685,0.40026420079260244,0.4132013201320132,0.41465009810333553,0.41617209497053154,0.00868786152087349,10,0.6856839121190645,0.696207018787664,0.6781283232896136,0.6752924494859979,0.684509039347749,0.6731655441332861,0.6809641970932293,0.6781283232896136,0.684863523573201,0.6827366182204891,0.6819678949339909,0.006201043696080189,10,0.6719671385363697,0.676019082524606,0.6572028357078946,0.6578261580287701,0.675166907564182,0.6703545885394226,0.6672481688927187,0.6498332615252046,0.6617720809995691,0.6636178371391641,0.6651008059457901,0.0081337017570945,10,normal
7,2.199878525733948,0.16734417734873103,0.12114548683166504,0.010762357698165236,DropTransformer(),KNeighborsClassifier(),SimpleImputer(),RandomUnderSampler(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': KNeighborsClassifier(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3516483516483517,0.3625866050808314,0.3318918918918919,0.3333333333333333,0.35888888888888887,0.3370411568409344,0.3329718004338395,0.34846765039727584,0.3511705685618729,0.36480186480186483,0.3472802111879084,0.01205224296829151,8,0.6387225548902196,0.626746506986028,0.6127744510978044,0.6127744510978044,0.6447105788423154,0.606,0.614,0.614,0.63,0.626,0.6225728542914173,0.012036957450616411,10,0.45357902197023386,0.4594001463057791,0.4305750350631136,0.4317862165963432,0.46109921484653815,0.43316654753395284,0.4317862165963432,0.44460535843591603,0.45096635647816746,0.4609720176730486,0.44579361314994365,0.012337046593337965,9,0.7267895109851169,0.7380361573909962,0.7121588089330024,0.7135767458348103,0.7323644097837646,0.7188940092165899,0.7135767458348103,0.728110599078341,0.728110599078341,0.7405175469691598,0.7252135133104932,0.009747969538924576,1,0.6922608896812149,0.6944077362516348,0.6731975703764884,0.6740596393420056,0.6980018411452955,0.6746070659198621,0.6745140025850925,0.6833464024127531,0.689623007324429,0.6955937096079275,0.6849611864646704,0.009610151666280767,9,normal
8,7.2110443115234375,0.6472871459929421,0.04652369022369385,0.013011643805977314,DropTransformer(),MLPClassifier(),SimpleImputer(),RandomUnderSampler(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': MLPClassifier(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3658301158301158,0.34709351305812974,0.3450508788159112,0.36258437801350046,0.3619512195121951,0.36659663865546216,0.33955555555555555,0.3562610229276896,0.37209302325581395,0.3446843853820598,0.3561700731006433,0.010696386815359577,3,0.7564870259481038,0.8223552894211577,0.7445109780439122,0.7504990019960079,0.7405189620758483,0.698,0.764,0.808,0.8,0.83,0.771437125748503,0.03995764539414855,3,0.4931685100845803,0.48815165876777245,0.47155499367888754,0.4889466840052015,0.48623853211009166,0.48071625344352614,0.47015384615384614,0.4944920440636475,0.5079365079365079,0.4870892018779343,0.4868448232121995,0.010487173520283293,3,0.723954642097803,0.6937256292095002,0.7036511875221553,0.7213753987947537,0.7220843672456576,0.7327188940092166,0.6947890818858561,0.707196029776675,0.7252747252747253,0.6901807869549805,0.7114950742771324,0.014609841275462814,8,0.7367096913454434,0.7441517826416133,0.7196692821254044,0.7327926044462798,0.7293112051758552,0.7190990952175786,0.7219396811719087,0.7467401981904351,0.7545885394226627,0.7450301594140457,0.7350032239151226,0.011851168242996474,3,normal
9,6.665134692192078,0.2666578957534909,0.03471837043762207,0.0050515360303805355,DropTransformer(),MLPClassifier(),SimpleImputer(),RandomUnderSampler(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>),"{'drop': DropTransformer(), 'model': MLPClassifier(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f4f59772710>)}",0.3342857142857143,0.3460764587525151,0.315004659832246,0.33490122295390407,0.32978723404255317,0.3210576015108593,0.3162236480293309,0.3433678269049859,0.33426443202979517,0.3440320962888666,0.3319000894630771,0.010738632236663504,9,0.7005988023952096,0.6866267465069861,0.6746506986027944,0.7105788423153693,0.7425149700598802,0.68,0.69,0.73,0.718,0.686,0.7018970059880238,0.02150636608393723,8,0.45261121856866543,0.4602006688963211,0.4294790343074968,0.4552429667519182,0.45672191528545125,0.43617703656189866,0.43368950345694524,0.4670505438259756,0.45616264294790343,0.45824983299933203,0.4505585363601908,0.012063999880563558,8,0.6991495393338059,0.7139312300602623,0.6816731655441333,0.6979794399149238,0.6862814604750088,0.6884083658277207,0.6806097128677774,0.7047146401985112,0.6965615030131159,0.7125132931584545,0.6961822350393714,0.011305688079781771,9,0.6997177553552955,0.7032271663569413,0.6789201768876041,0.7029187315025122,0.7083264505471816,0.6851098664368808,0.6842934080137871,0.7146337785437311,0.7049715639810427,0.7021124515295132,0.6984231349154489,0.011043443431432057,8,normal
