,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_drop,param_model,param_replacement,param_samplers,param_scaling,param_selection,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,split5_train_precision,split6_train_precision,split7_train_precision,split8_train_precision,split9_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_auc_roc,split1_test_auc_roc,split2_test_auc_roc,split3_test_auc_roc,split4_test_auc_roc,split5_test_auc_roc,split6_test_auc_roc,split7_test_auc_roc,split8_test_auc_roc,split9_test_auc_roc,mean_test_auc_roc,std_test_auc_roc,rank_test_auc_roc,split0_train_auc_roc,split1_train_auc_roc,split2_train_auc_roc,split3_train_auc_roc,split4_train_auc_roc,split5_train_auc_roc,split6_train_auc_roc,split7_train_auc_roc,split8_train_auc_roc,split9_train_auc_roc,mean_train_auc_roc,std_train_auc_roc,pipeline
31,946.473446059227,20.573899412319545,0.15033392906188964,0.10194852324452022,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),ClusterCentroids(),StandardScaler(),"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))","{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': ClusterCentroids(), 'scaling': StandardScaler(), 'selection': SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))}",0.29439567859554355,0.2981029810298103,0.28515625,0.29191321499013806,0.28695073235685753,0.29690721649484536,0.29993364299933645,0.3005502063273728,0.3002735978112175,0.29815303430079154,0.29523365549059133,0.005264994487698229,88,0.3620869844842833,0.3607818007049023,0.35649833781858475,0.36340164595772145,0.3646373056994819,0.3640992483633719,0.3619055269922879,0.36489551271666937,0.3605153649167734,0.36008312684837346,0.36189048545024494,0.0024338904597620463,0.8702594810379242,0.8782435129740519,0.874251497005988,0.8862275449101796,0.8602794411177644,0.864,0.904,0.874,0.878,0.904,0.8793261477045908,0.0141497357999038,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.43995963673057514,0.44511886697015685,0.43004418262150224,0.4391691394658754,0.4303544682975537,0.4419437340153453,0.45042351768809163,0.4472876151484136,0.44750254841997955,0.4484126984126984,0.44202164077701916,0.006861325742942011,61,0.5316649943929646,0.5302566517541795,0.5256155910841405,0.5330808379689904,0.5344091124822022,0.5338310226330134,0.5314693564560844,0.5346863687614979,0.529968825363214,0.5295016455101081,0.5314484406406396,0.0026279321643515397,0.6066619418851878,0.6111308046791918,0.5884438142502658,0.598014888337469,0.5955334987593052,0.6132577100319035,0.60900389932648,0.6171570365118753,0.6157390996100673,0.6058135412974123,0.6060756234689159,0.008884241706804928,101,0.6874630745598488,0.6857030326900354,0.6797951949586452,0.6892477353288696,0.690901929893659,0.6901142181961402,0.6871602993304451,0.6911776289877904,0.6852697912564002,0.6846790074832612,0.6871511912685094,0.00330774582320493,0.7100112571066397,0.7158458944180603,0.7004878174685113,0.7110017034895725,0.6993207550416409,0.7116208530805688,0.7247272727272727,0.7179133993968116,0.7186208530805688,0.7227884532529082,0.7132338259062554,0.008094040207264688,41,0.8100311228154178,0.8089629416834243,0.8053720195346165,0.811117494972709,0.8121229531743752,0.8116351448407948,0.8098395977974623,0.8122815417763946,0.8086904476897294,0.808331338281063,0.8098384602565988,0.0020098172966018443,normal
32,8.439689016342163,1.896089855866517,0.1506704330444336,0.03956998475620872,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),RandomOverSampler(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': RandomOverSampler(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>)}",0.6085526315789473,0.620817843866171,0.5756578947368421,0.6372881355932203,0.6,0.583941605839416,0.5793650793650794,0.5868852459016394,0.6291390728476821,0.6433566433566433,0.606500415308564,0.023772825074544004,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36926147704590817,0.3333333333333333,0.34930139720558884,0.37524950099800397,0.3652694610778443,0.32,0.292,0.358,0.38,0.368,0.3510415169660678,0.02657276140709151,109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45962732919254656,0.43376623376623374,0.43478260869565216,0.4723618090452261,0.45409429280397023,0.4134366925064599,0.3882978723404255,0.44472049689440996,0.4738154613466334,0.4681933842239186,0.4443096180815476,0.02617417715895729,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8458540042523033,0.8454448777029422,0.8387096774193549,0.8511166253101737,0.8440269408011344,0.8390641616448068,0.836937256292095,0.8415455512229706,0.8504076568592698,0.8518255937610776,0.8444932345266128,0.005140952702289873,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6589952365841346,0.644683908045977,0.6468489744648634,0.6645644056714157,0.6563416270906464,0.6354416199913829,0.6231650150797071,0.6518565273588971,0.665872468763464,0.662026712623869,0.6509796495674357,0.013015113176327479,89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
33,9.057618618011475,2.338086017466549,0.0945852518081665,0.0394924403164743,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),RandomOverSampler(),MinMaxScaler(),"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))","{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': RandomOverSampler(), 'scaling': MinMaxScaler(), 'selection': SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))}",0.6095238095238096,0.6332179930795848,0.5953947368421053,0.6234177215189873,0.6175548589341693,0.597972972972973,0.6067415730337079,0.5936507936507937,0.6535714285714286,0.6175438596491228,0.6148589747776683,0.01769625083771685,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.38323353293413176,0.3652694610778443,0.36127744510978044,0.3932135728542914,0.3932135728542914,0.354,0.324,0.374,0.366,0.352,0.36662075848303394,0.019912645613400528,107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4705882352941177,0.46329113924050636,0.4496894409937888,0.4822521419828642,0.4804878048780488,0.44472361809045224,0.42242503259452413,0.4588957055214724,0.46923076923076923,0.44840764331210187,0.4589991531138645,0.01732107473008431,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8469170800850461,0.8496986884083658,0.8429634881247784,0.8500531726338177,0.8489897199574619,0.8433179723502304,0.8429634881247784,0.8436724565756824,0.8532435306628855,0.8465083303792981,0.8468327927302344,0.0034165948547412693,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6651195669840844,0.6597899029527153,0.654130101865235,0.6709602347030078,0.6703136829788698,0.6513644980611806,0.6393804394657476,0.6594256785868161,0.6621038345540715,0.6525187419215854,0.6585106682073313,0.009085652855721894,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
34,4.973288631439209,0.14460688416734793,0.08118636608123779,0.008518274511996058,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),RandomOverSampler(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': RandomOverSampler(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>)}",0.6140939597315436,0.604982206405694,0.5671140939597316,0.6026936026936027,0.6245733788395904,0.5774647887323944,0.5789473684210527,0.6237942122186495,0.6504854368932039,0.6319444444444444,0.6076093492339908,0.025344565158297448,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3652694610778443,0.3393213572854291,0.3373253493013972,0.35728542914171657,0.3652694610778443,0.328,0.308,0.388,0.402,0.364,0.3554471057884231,0.026625853839546444,108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45807259073842305,0.43478260869565216,0.42302878598247806,0.4486215538847118,0.4609571788413098,0.41836734693877553,0.40208877284595296,0.4784217016029594,0.49690976514215085,0.4619289340101523,0.4483179238682566,0.027503776589876797,57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8465627214741318,0.8433179723502304,0.836582772066643,0.8440269408011344,0.8482807515065579,0.8383551931939028,0.837646224742999,0.8500531726338177,0.8557249202410493,0.8496986884083658,0.8450249357418832,0.005905019956496453,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6578609261442647,0.6457382648496112,0.6408609505127676,0.6532116800880996,0.6589278339871981,0.6381490736751401,0.629872468763464,0.6687953468332615,0.6777341663076261,0.659165015079707,0.653031572624114,0.013833307876332827,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
35,23.59222502708435,3.1740566867171243,0.07555253505706787,0.006907104137174496,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),RandomOverSampler(),StandardScaler(),"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))","{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': RandomOverSampler(), 'scaling': StandardScaler(), 'selection': SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))}",0.6514522821576764,0.69,0.6666666666666666,0.7014218009478673,0.6782608695652174,0.6127450980392157,0.6421052631578947,0.6577777777777778,0.6743119266055045,0.6744186046511628,0.6649160289568983,0.024074826083635096,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.313373253493014,0.2754491017964072,0.3073852295409182,0.2954091816367265,0.31137724550898205,0.25,0.244,0.296,0.294,0.29,0.2876994011976048,0.02293818246201079,116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4231805929919138,0.3937232524964337,0.4207650273224044,0.4157303370786517,0.42681258549931606,0.35511363636363635,0.35362318840579704,0.4082758620689655,0.4094707520891365,0.4055944055944056,0.40122896399106606,0.025128181863092416,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.848334514528703,0.8493442041829139,0.8496986884083658,0.8525345622119815,0.8514711095356257,0.8390641616448068,0.8419000354484225,0.847926267281106,0.8496986884083658,0.8493442041829139,0.8479316435833205,0.003989048700858161,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6385909783191052,0.6243624819326863,0.6370977871842523,0.6341270046114668,0.639740346892422,0.6079814735028005,0.607351141749246,0.6314123222748815,0.6317048685911245,0.629920292977165,0.6282288698035151,0.01113192021967268,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
36,6.4081501245498655,0.15283632761489355,0.07436568737030029,0.006744881935373837,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),SMOTE(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': SMOTE(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>)}",0.6245353159851301,0.6363636363636364,0.6145038167938931,0.6283524904214559,0.6549019607843137,0.6473214285714286,0.6239316239316239,0.6046511627906976,0.6666666666666666,0.676923076923077,0.6378151179231925,0.02201860987071748,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33532934131736525,0.3073852295409182,0.3213572854291417,0.3273453093812375,0.3333333333333333,0.29,0.292,0.312,0.34,0.352,0.3210750499001996,0.01946313794715654,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.43636363636363634,0.414535666218035,0.42201834862385323,0.4304461942257218,0.4417989417989418,0.4005524861878453,0.39782016348773835,0.41160949868073876,0.45033112582781465,0.46315789473684205,0.42686339561511677,0.020342292494261227,71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8462083628632175,0.8457993619283942,0.8436724565756824,0.8461538461538461,0.8504076568592698,0.8461538461538461,0.8433179723502304,0.8419000354484225,0.8528890464374336,0.8553704360155973,0.847187302078594,0.004124876442965381,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6459068076685921,0.6347270975290799,0.6389114013352606,0.6427674822768257,0.6477011494252873,0.6279814735028005,0.6270426540284361,0.6340267126238691,0.6516889271865576,0.657904351572598,0.6408658057149308,0.009636203451016892,97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
37,8.85045940876007,0.723491676110646,0.0728797197341919,0.007043374482215106,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),SMOTE(),MinMaxScaler(),"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))","{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': SMOTE(), 'scaling': MinMaxScaler(), 'selection': SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))}",0.6231343283582089,0.6563876651982379,0.608,0.6654275092936803,0.6245353159851301,0.6190476190476191,0.630901287553648,0.6255144032921811,0.6731517509727627,0.6245059288537549,0.6350605808555223,0.020711032560622233,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.29740518962075846,0.3033932135728543,0.35728542914171657,0.33532934131736525,0.286,0.294,0.304,0.346,0.316,0.3172746506986028,0.023010878367955612,113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4343302990897269,0.4093406593406593,0.4047936085219707,0.464935064935065,0.43636363636363634,0.39124487004103964,0.40109140518417463,0.40915208613728127,0.45706737120211366,0.41965471447543157,0.4227973715291099,0.023313232422992203,78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8458540042523033,0.8475717830556541,0.8415455512229706,0.8539524991137895,0.8461538461538461,0.8422545196738745,0.8443814250265863,0.8443814250265863,0.8543069833392414,0.8450903934774903,0.8465492430342343,0.004143485384475656,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6449088036765762,0.6318922499827931,0.6305759171312547,0.6592461628467202,0.6458974292793722,0.6240426540284361,0.6284735028005171,0.6323963808703145,0.6549043515725981,0.6375346833261526,0.6389872135514734,0.011167416569803858,101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
38,6.9588546514511105,0.20585706510386031,0.0753749132156372,0.010263421238747196,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),SMOTE(),StandardScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': SMOTE(), 'scaling': StandardScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>)}",0.6079136690647482,0.6169354838709677,0.5812274368231047,0.6124031007751938,0.6218181818181818,0.6204081632653061,0.5836734693877551,0.6051660516605166,0.660377358490566,0.6420664206642066,0.6151989335820546,0.02268564751525916,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3373253493013972,0.30538922155688625,0.3213572854291417,0.3153692614770459,0.3413173652694611,0.304,0.286,0.328,0.35,0.348,0.3236758483033932,0.020040558856153065,110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.43388960205391525,0.40854472630173566,0.4138817480719794,0.4163372859025033,0.44072164948453607,0.4080536912751678,0.3838926174496644,0.4254215304798962,0.45751633986928103,0.45136186770428016,0.42396210585929595,0.021246857681803694,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8437278525868178,0.8429634881247784,0.8383551931939028,0.8429634881247784,0.8461538461538461,0.8436724565756824,0.837291740517547,0.8429634881247784,0.8528890464374336,0.8500531726338177,0.8441033772473382,0.00447724512258643,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6451814165722841,0.6322204728474087,0.6356786427145709,0.6361329066005919,0.6482448895312822,0.6319655320982336,0.621026712623869,0.6409495906936666,0.655611805256355,0.6531038345540715,0.6400115803492334,0.010148164844393218,99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
39,29.2688951253891,2.1468901020631117,0.07331640720367431,0.005504872819664133,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),SMOTE(),StandardScaler(),"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))","{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': SMOTE(), 'scaling': StandardScaler(), 'selection': SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'))}",0.676923076923077,0.7037037037037037,0.6701030927835051,0.698019801980198,0.6774193548387096,0.6891891891891891,0.6607142857142857,0.5942857142857143,0.7248677248677249,0.6519337016574586,0.6747159645943566,0.03365351850097225,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2634730538922156,0.2275449101796407,0.25948103792415167,0.281437125748503,0.25149700598802394,0.204,0.222,0.208,0.274,0.236,0.2427433133732535,0.025837150025514632,119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3793103448275862,0.3438914027149321,0.37410071942446044,0.4011379800853485,0.3668122270742358,0.3148148148148148,0.3323353293413174,0.3081481481481481,0.39767779390420904,0.3465491923641703,0.35647779526992224,0.030890252631908328,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8469170800850461,0.8457993619283942,0.8457993619283942,0.8507621410847217,0.8457993619283942,0.8426090038993265,0.8419000354484225,0.8344558667139312,0.8528890464374336,0.8422545196738745,0.8449185779127939,0.0048477645785407935,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6181647906255563,0.6034276275036135,0.6159474155137998,0.6275720111501136,0.6128174685112534,0.592090478242137,0.5987208099956915,0.5887048685911245,0.6257979319258941,0.6044282636794486,0.6087671665738632,0.012762520036500273,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,normal
40,7.538366532325744,0.13603558508598182,0.06551282405853272,0.004169774881050175,DropTransformer(),RandomForestClassifier(random_state=42),SimpleImputer(),SMOTEENN(),MinMaxScaler(),SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>),"{'drop': DropTransformer(), 'model': RandomForestClassifier(random_state=42), 'replacement': SimpleImputer(), 'samplers': SMOTEENN(), 'scaling': MinMaxScaler(), 'selection': SelectPercentile(score_func=<function correlationScore at 0x7f6e5e9dfd00>)}",0.3869653767820774,0.37924151696606784,0.36993076162215627,0.361376673040153,0.37309160305343514,0.3730769230769231,0.3735521235521235,0.3743937924345296,0.3888888888888889,0.39156626506024095,0.3772083924476595,0.00894890697828823,25,0.48915364729684163,0.48604599240901986,0.48812989921612543,0.47935704062534407,0.47691803994325005,0.47935249421869836,0.48090929154711987,0.48484175458078843,0.4864563593802252,0.48099447513812155,0.48321589943555343,0.004003655162276359,0.7584830339321357,0.7584830339321357,0.7465069860279441,0.7544910179640718,0.780439121756487,0.776,0.774,0.772,0.77,0.78,0.7670403193612775,0.0111135476438134,28,0.9662522202486679,0.966696269982238,0.9678063943161634,0.966696269982238,0.9702486678507993,0.9662597114317425,0.967369589345172,0.9691453940066592,0.9687014428412875,0.9662597114317425,0.967543567143671,0.0013312931459179278,0.5124747134187457,0.5056553559547572,0.49470899470899465,0.48868778280542996,0.5048418334409296,0.5038961038961038,0.50390625,0.5042455911169171,0.5167785234899329,0.5213903743315508,0.5056585523163362,0.009134244094142995,2,0.6495037683754944,0.6468578220175308,0.648950424296561,0.640906749098403,0.6394965976439599,0.6408067127925806,0.6424412176604997,0.6463360473723168,0.6476699317304838,0.6422722242714866,0.6445241495259316,0.003529935285064003,0.7437987243090007,0.7366182204891882,0.729174051754697,0.7196029776674938,0.728110599078341,0.729174051754697,0.7298830202056008,0.7309464728819568,0.7447713576745835,0.7461892945763914,0.7338268770391949,0.008258231094620714,31,0.8149986214502344,0.812760929499803,0.8142575817250887,0.8078377313903111,0.8059472233162662,0.8077983458054352,0.8089405277668373,0.8118156754627807,0.8129972430090587,0.8090192989365892,0.8106373178362404,0.002949343903629291,0.7495560365696871,0.7451897928281368,0.7359690102553513,0.7332799917406567,0.7486247332920366,0.7475433003015942,0.7471895734597156,0.7470512710038777,0.7546682464454976,0.7594528220594571,0.746852477795601,0.007323675220949832,5,0.8743159592983822,0.8731307645037113,0.8744758295434116,0.8701383293797046,0.8703824015304938,0.8699385701041882,0.8710680841147693,0.8735121272164013,0.8740562517055372,0.8706807295487656,0.8721699046945366,0.0017871465739694972,normal
