,model,mean_train_accuracy,mean_train_f1,mean_train_precision,mean_train_recall,mean_test_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,normalizer,foldingStrat
0,LogisticRegression,,,,,,,,,MinMaxScaler,RepeatedBalancedKFold
1,SGDClassifier,0.8566610305734956,0.025126874296087887,0.020419807665911147,0.08570088750553591,0.8581894849826538,0.025229706897035176,0.01892817366115689,0.0829367435272335,MinMaxScaler,RepeatedBalancedKFold
2,RandomForestClassifier,0.5903117903799778,0.20622577536785144,0.12355140069456574,0.6271036730922511,0.586281697429705,0.19443679545692744,0.11743273973725149,0.5983862958114707,MinMaxScaler,RepeatedBalancedKFold
3,KNeighborsClassifier,0.9149321252335638,0.0009345794392523367,0.0014084507042253522,0.0006993006993006993,0.9150753263182105,0.0025,0.003333333333333333,0.002,MinMaxScaler,RepeatedBalancedKFold
4,MLPClassifier,0.8887641627866703,0.005893521059167472,0.003483535451562797,0.03248871691659385,0.8882851922130858,0.005489190267450711,0.003083500667814394,0.032719608798685164,MinMaxScaler,RepeatedBalancedKFold
5,LinearSVC,,,,,,,,,MinMaxScaler,RepeatedBalancedKFold
6,OneClassSVM,,,,,,,,,MinMaxScaler,RepeatedBalancedKFold
