,model,scaler,folding,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy
0,LogisticRegression,None,KFold,0.5487454212454212,0.03663234388179049,0.06815500550105028,0.6986956455565194,0.6113489049272365,0.04120848620903491,0.07711688422644977,0.7026616135436331
1,LogisticRegression,None,StratifiedKFold,0.4966666666666666,0.011876563803169307,0.023076212858821554,0.6978486522685418,0.5349365488896056,0.011679666542858323,0.022834825045713568,0.6985528488118599
2,LogisticRegression,None,BalancedKFold,0.5092063492063492,0.043905095326790364,0.07944962343407655,0.7088496502031754,0.5864934861724349,0.05454806536263078,0.09965387989738086,0.7161790235967135
3,LogisticRegression,MinMaxScaler,KFold,0.875,0.010954174067240335,0.02155872852096207,0.7011833554023409,0.7958798064680417,0.01156829753952211,0.022778170963568378,0.7006686419647241
4,LogisticRegression,MinMaxScaler,StratifiedKFold,0.675,0.008240200166805673,0.016186065389605216,0.7000578360196642,0.8186238907291539,0.009547480500185713,0.0188464043085071,0.7003618559529027
5,LogisticRegression,MinMaxScaler,BalancedKFold,0.6964285714285714,0.03083971359705201,0.057952328373381004,0.7170813958359517,0.7361748219296944,0.029571740320923308,0.05672415773401731,0.7168900701997716
6,LogisticRegression,Normalizer,KFold,0.825,0.013100460810592896,0.025652880222655893,0.7011848774028583,0.7783818446597353,0.012788831289997079,0.025104192442105006,0.7007606100824433
7,LogisticRegression,Normalizer,StratifiedKFold,0.6799999999999999,0.012810675562969142,0.024909440165611568,0.7006103222075095,0.7337229068175359,0.010563224794684497,0.020783377519434498,0.7001165888373662
8,LogisticRegression,Normalizer,BalancedKFold,0.7016666666666667,0.02902366390131165,0.05518168626956863,0.7170813958359517,0.708786567838292,0.02762236920310949,0.053011351946073704,0.7161283910769207
9,LogisticRegression,StandardScaler,KFold,0.5916666666666667,0.016389337015336607,0.03177968459264184,0.6992519367456584,0.6433740535595651,0.023960556290566766,0.04617266145692557,0.7013431970385196
10,LogisticRegression,StandardScaler,StratifiedKFold,0.520952380952381,0.02102585487906589,0.040267681123158136,0.6981279393634994,0.6358889816252853,0.026305352647435103,0.05050542058130134,0.7015269076545337
11,LogisticRegression,StandardScaler,BalancedKFold,0.6916666666666667,0.03557096194225376,0.0664455304322286,0.7138745758451677,0.6660884764641132,0.03765647703306988,0.071155447140483,0.7169407800604806
12,LogisticRegression,RobustScaler,KFold,0.5592063492063492,0.03945362476072832,0.07332712814120812,0.6995228528377699,0.5897723302053647,0.03898042089609617,0.07306564569494625,0.7017110695093963
13,LogisticRegression,RobustScaler,StratifiedKFold,0.5230952380952381,0.025604670558798996,0.04861728233104989,0.6981302223642756,0.6066849874724364,0.03331311130370187,0.06314730621705975,0.7016495224106833
14,LogisticRegression,RobustScaler,BalancedKFold,0.6266666666666667,0.03557096194225376,0.06613291976027036,0.7125047128314691,0.652459643306175,0.038702717349052784,0.07294463418450244,0.7167884957965212
15,SGDClassifier,None,KFold,0.4158965283734869,0.19694364858239868,0.13980504820860856,0.6274576503356011,0.4182017506176921,0.21390997403911166,0.1539366449391007,0.638557776716113
16,SGDClassifier,None,StratifiedKFold,0.35892568411185233,0.46522101751459555,0.2547217520241397,0.536338523355098,0.5170019384716169,0.47806693904502495,0.259090200931802,0.5409710208771293
17,SGDClassifier,None,BalancedKFold,0.3277716842388497,0.45382156608599133,0.25533783823177875,0.5353336684680156,0.29877153780240706,0.44194303662151524,0.25334707564601044,0.5434526016195188
18,SGDClassifier,MinMaxScaler,KFold,0.4136058509262964,0.5452604146511294,0.3534383918038052,0.5198210127391443,0.3930672827883438,0.570938409976075,0.37662896253199596,0.5387290406605686
