,labeller,modelAppr,scalingAppr,selectionAppr,precision,recall,f1
0,no_sampling,RFC,FT,FT,0.5163727959697733,0.4485776805251641,0.48009367681498827
1,no_sampling,RFC,MMS,FT,0.5089058524173028,0.437636761487965,0.4705882352941177
2,no_sampling,RFC,SS,FT,0.5190839694656488,0.44638949671772427,0.48000000000000004
3,no_sampling,LSVC,FT,FT,0.0,0.0,0.0
4,no_sampling,LSVC,MMS,FT,0.6111111111111112,0.40919037199124725,0.49017038007863695
5,no_sampling,LSVC,SS,FT,0.6111111111111112,0.40919037199124725,0.49017038007863695
6,no_sampling,MLPC,FT,FT,0.7235772357723578,0.19474835886214442,0.30689655172413793
7,no_sampling,MLPC,MMS,FT,0.6186186186186187,0.45076586433260396,0.5215189873417722
8,no_sampling,MLPC,SS,FT,0.6126373626373627,0.487964989059081,0.5432399512789282
9,random_undersampling,RFC,FT,FT,0.48604992657856094,0.7242888402625821,0.5817223198594025
10,random_undersampling,RFC,MMS,FT,0.4845201238390093,0.6849015317286652,0.5675430643699002
11,random_undersampling,RFC,SS,FT,0.4783904619970194,0.7024070021881839,0.5691489361702128
12,random_undersampling,LSVC,FT,FT,0.48840381991814463,0.7833698030634574,0.6016806722689076
13,random_undersampling,LSVC,MMS,FT,0.5263157894736842,0.7439824945295405,0.6165004533091568
14,random_undersampling,LSVC,SS,FT,0.5255813953488372,0.7417943107221007,0.6152450090744102
15,random_undersampling,MLPC,FT,FT,0.4973474801061008,0.8205689277899344,0.6193228736581338
16,random_undersampling,MLPC,MMS,FT,0.5046979865771812,0.8227571115973742,0.6256239600665557
17,random_undersampling,MLPC,SS,FT,0.5061898211829436,0.8052516411378556,0.6216216216216217
18,KMeans_undersampling_2_highestScoreIndex,RFC,FT,FT,0.3509496284062758,0.9299781181619255,0.5095923261390888
19,KMeans_undersampling_2_highestScoreIndex,RFC,MMS,FT,0.3696369636963696,0.9803063457330415,0.5368484122228879
20,KMeans_undersampling_2_highestScoreIndex,RFC,SS,FT,0.2948616600790514,0.8161925601750547,0.43321718931475034
21,KMeans_undersampling_2_highestScoreIndex,LSVC,FT,FT,0.45918367346938777,0.787746170678337,0.580177276390008
22,KMeans_undersampling_2_highestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
23,KMeans_undersampling_2_highestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
24,KMeans_undersampling_2_highestScoreIndex,MLPC,FT,FT,0.4098867147270855,0.8708971553610503,0.5574229691876751
25,KMeans_undersampling_2_highestScoreIndex,MLPC,MMS,FT,0.37405857740585774,0.9781181619256017,0.5411622276029056
26,KMeans_undersampling_2_highestScoreIndex,MLPC,SS,FT,0.30254777070063693,0.8315098468271335,0.44366608289550497
27,KMeans_undersampling_2_lowestScoreIndex,RFC,FT,FT,0.3481848184818482,0.9234135667396062,0.5056920311563812
28,KMeans_undersampling_2_lowestScoreIndex,RFC,MMS,FT,0.3702479338842975,0.9803063457330415,0.5374925014997
29,KMeans_undersampling_2_lowestScoreIndex,RFC,SS,FT,0.29462875197472355,0.8161925601750547,0.4329657573998839
30,KMeans_undersampling_2_lowestScoreIndex,LSVC,FT,FT,0.5524079320113314,0.42669584245076586,0.48148148148148145
31,KMeans_undersampling_2_lowestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
32,KMeans_undersampling_2_lowestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
33,KMeans_undersampling_2_lowestScoreIndex,MLPC,FT,FT,0.3977055449330784,0.9102844638949672,0.5535595475715237
34,KMeans_undersampling_2_lowestScoreIndex,MLPC,MMS,FT,0.37563025210084033,0.9781181619256017,0.5428051001821494
35,KMeans_undersampling_2_lowestScoreIndex,MLPC,SS,FT,0.3011182108626198,0.824945295404814,0.441193680514921
36,KMeans_undersampling_2_bestScoreByClosestToMean,RFC,FT,FT,0.349009900990099,0.925601750547046,0.5068903535050929
37,KMeans_undersampling_2_bestScoreByClosestToMean,RFC,MMS,FT,0.3705541770057899,0.9803063457330415,0.5378151260504201
38,KMeans_undersampling_2_bestScoreByClosestToMean,RFC,SS,FT,0.2943485086342229,0.8205689277899344,0.4332755632582322
39,KMeans_undersampling_2_bestScoreByClosestToMean,LSVC,FT,FT,0.40540540540540543,0.8862144420131292,0.5563186813186813
40,KMeans_undersampling_2_bestScoreByClosestToMean,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
41,KMeans_undersampling_2_bestScoreByClosestToMean,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
42,KMeans_undersampling_2_bestScoreByClosestToMean,MLPC,FT,FT,0.41372141372141374,0.8708971553610503,0.5609584214235377
43,KMeans_undersampling_2_bestScoreByClosestToMean,MLPC,MMS,FT,0.37563025210084033,0.9781181619256017,0.5428051001821494
44,KMeans_undersampling_2_bestScoreByClosestToMean,MLPC,SS,FT,0.30359937402190923,0.849015317286652,0.4472622478386167
45,KMeans_undersampling_2_bestScoreByClosestToMedian,RFC,FT,FT,0.3490488006617039,0.9234135667396062,0.5066026410564226
46,KMeans_undersampling_2_bestScoreByClosestToMedian,RFC,MMS,FT,0.3705541770057899,0.9803063457330415,0.5378151260504201
47,KMeans_undersampling_2_bestScoreByClosestToMedian,RFC,SS,FT,0.29606299212598425,0.8227571115973742,0.4354371742906774
48,KMeans_undersampling_2_bestScoreByClosestToMedian,LSVC,FT,FT,0.3775241439859526,0.9409190371991247,0.5388471177944861
