,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_drop,param_model,param_replacement,param_scaling,param_selection,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auc_roc,split1_test_auc_roc,split2_test_auc_roc,split3_test_auc_roc,split4_test_auc_roc,split5_test_auc_roc,split6_test_auc_roc,split7_test_auc_roc,split8_test_auc_roc,split9_test_auc_roc,mean_test_auc_roc,std_test_auc_roc,rank_test_auc_roc,param_samplers,param_kus__kw_args,labeller
10,0.005460262298583984,0.0006418514829839386,0.00344085693359375,0.0009143057511306862,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.4444444444444444,0.5,1.0,0.6666666666666666,0.5714285714285714,0.4,0.5,0.4444444444444444,0.5,0.42857142857142855,0.5455555555555556,0.16834536301806788,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.975,0.075,1,0.6153846153846153,0.6666666666666666,1.0,0.8,0.7272727272727273,0.5714285714285715,0.6666666666666666,0.6153846153846153,0.6666666666666666,0.5454545454545454,0.6874925074925076,0.1253982446809979,53,0.5833333333333334,0.6666666666666666,1.0,0.8333333333333334,0.75,0.5,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6833333333333333,0.13844373104863458,60,0.6875,0.75,1.0,0.875,0.8125,0.625,0.75,0.6875,0.75,0.625,0.75625,0.1098649739452934,53,RandomUnderSampler(),,iris
11,0.004108548164367676,0.0002793505277509508,0.00294342041015625,0.000264034625001293,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomUnderSampler(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.5,1.0,1.0,0.6452380952380953,0.23309025239086512,44,1.0,0.5,0.75,0.75,1.0,0.5,0.5,0.5,1.0,0.75,0.725,0.20766559657295186,57,0.8,0.5,0.75,0.75,0.8,0.36363636363636365,0.4,0.5,1.0,0.8571428571428571,0.672077922077922,0.20372480189312323,57,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5,0.6666666666666666,1.0,0.9166666666666666,0.7500000000000001,0.17480147469502527,49,0.875,0.625,0.8125,0.8125,0.875,0.4375,0.5,0.625,1.0,0.875,0.74375,0.17555714881485174,57,RandomUnderSampler(),,iris
12,0.05106067657470703,0.015196749936901253,0.003408193588256836,0.0005800584288896132,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': ClusterCentroids(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.8,0.3333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.4,0.6,1.0,1.0,0.6495238095238095,0.22019574882466172,43,1.0,0.5,0.75,0.5,1.0,0.75,0.5,0.75,1.0,0.75,0.75,0.19364916731037085,54,0.888888888888889,0.4,0.6666666666666665,0.5714285714285715,0.8,0.5454545454545454,0.4444444444444445,0.6666666666666665,1.0,0.8571428571428571,0.684069264069264,0.1886215206138581,54,0.9166666666666666,0.5,0.75,0.75,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.75,1.0,0.9166666666666666,0.7583333333333333,0.155679514102245,47,0.9375,0.5,0.75,0.6875,0.875,0.625,0.5625,0.75,1.0,0.875,0.75625,0.15674920254980565,53,ClusterCentroids(),,iris
13,0.03720955848693848,0.0022305026581296876,0.002944064140319824,0.00018899301208639158,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': ClusterCentroids(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.8,0.3333333333333333,0.6,0.75,0.6666666666666666,0.3333333333333333,0.2,0.4,0.6666666666666666,1.0,0.5750000000000001,0.23819343213260755,59,1.0,0.5,0.75,0.75,1.0,0.5,0.25,0.5,1.0,0.75,0.7,0.2449489742783178,60,0.888888888888889,0.4,0.6666666666666665,0.75,0.8,0.4,0.22222222222222224,0.4444444444444445,0.8,0.8571428571428571,0.6229365079365079,0.22319866259258628,60,0.9166666666666666,0.5,0.75,0.8333333333333334,0.8333333333333334,0.5,0.4166666666666667,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.7083333333333334,0.1796988221070652,59,0.9375,0.5,0.75,0.8125,0.875,0.5,0.375,0.5625,0.875,0.875,0.70625,0.1917232706272246,60,ClusterCentroids(),,iris
14,0.003918600082397461,0.0002512985840566122,0.0027383804321289063,0.00018995609442511567,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomOverSampler(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5,0.5,0.6666666666666666,0.42857142857142855,0.603968253968254,0.16161856123244336,54,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.925,0.11456439237389601,16,0.6666666666666666,0.8,0.8571428571428571,0.8,0.8,0.6153846153846153,0.6666666666666666,0.6,0.8,0.5454545454545454,0.715131535131535,0.10279617067437118,42,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.7416666666666666,0.11456439237389601,54,0.75,0.875,0.875,0.875,0.875,0.6875,0.75,0.6875,0.875,0.625,0.7875,0.09354143466934853,41,RandomOverSampler(),,iris
15,0.004644346237182617,0.0009027714243214477,0.003280782699584961,0.0005973448554036416,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': RandomOverSampler(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.5714285714285714,0.5,1.0,0.8,0.6666666666666666,0.375,0.42857142857142855,0.5,1.0,0.75,0.6591666666666667,0.21278312471449728,37,1.0,0.5,0.75,1.0,1.0,0.75,0.75,0.5,1.0,0.75,0.8,0.18708286933869706,50,0.7272727272727273,0.5,0.8571428571428571,0.888888888888889,0.8,0.5,0.5454545454545454,0.5,1.0,0.75,0.7068759018759019,0.1752222043019043,47,0.75,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.5,0.5833333333333334,0.6666666666666666,1.0,0.8333333333333334,0.7666666666666667,0.15275252316519466,40,0.8125,0.625,0.875,0.9375,0.875,0.5625,0.625,0.625,1.0,0.8125,0.775,0.1457737973711325,46,RandomOverSampler(),,iris
16,0.004737544059753418,0.0010245972239805864,0.0030590057373046874,0.0006183706117708391,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': SMOTE(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5,0.6,1.0,0.6666666666666666,0.5714285714285714,0.4444444444444444,0.5,0.5,0.6666666666666666,0.5,0.594920634920635,0.15285442315733097,56,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.9,0.12247448713915891,38,0.6666666666666666,0.6666666666666665,0.8571428571428571,0.8,0.7272727272727273,0.6153846153846153,0.6666666666666666,0.6,0.8,0.6,0.6999800199800199,0.08713826476287202,49,0.6666666666666666,0.75,0.9166666666666666,0.8333333333333334,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7333333333333334,0.09718253158075502,55,0.75,0.75,0.875,0.875,0.8125,0.6875,0.75,0.6875,0.875,0.6875,0.775,0.075,46,SMOTE(),,iris
17,0.00410928726196289,0.00022404035938311504,0.0026511907577514648,0.0001815366233977314,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': SMOTE(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.6666666666666666,0.4,1.0,0.8,0.6666666666666666,0.375,0.42857142857142855,0.5,1.0,0.75,0.6586904761904762,0.220670778318354,38,1.0,0.5,0.75,1.0,1.0,0.75,0.75,0.5,1.0,0.75,0.8,0.18708286933869706,50,0.8,0.4444444444444445,0.8571428571428571,0.888888888888889,0.8,0.5,0.5454545454545454,0.5,1.0,0.75,0.7085930735930737,0.1847504858599591,46,0.8333333333333334,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.5,0.5833333333333334,0.6666666666666666,1.0,0.8333333333333334,0.7666666666666667,0.16158932858054428,40,0.875,0.5625,0.875,0.9375,0.875,0.5625,0.625,0.625,1.0,0.8125,0.775,0.15612494995995996,46,SMOTE(),,iris
18,0.005726265907287598,0.0013768655234073627,0.0028964519500732423,0.0007003544052610798,DropTransformer(),LogisticRegression(),SimpleImputer(),MinMaxScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': SMOTEENN(), 'scaling': MinMaxScaler(), 'selection': FunctionTransformer()}",0.5,0.6666666666666666,1.0,0.6666666666666666,0.5714285714285714,0.4444444444444444,0.5,0.4444444444444444,0.5714285714285714,0.42857142857142855,0.5793650793650793,0.1624950335500918,58,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.95,0.09999999999999999,5,0.6666666666666666,0.8,0.8571428571428571,0.8,0.7272727272727273,0.6153846153846153,0.6666666666666666,0.6153846153846153,0.7272727272727273,0.5454545454545454,0.7021245421245421,0.09303891144812387,48,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.75,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.75,0.5833333333333334,0.7166666666666667,0.11303883305208778,58,0.75,0.875,0.875,0.875,0.8125,0.6875,0.75,0.6875,0.8125,0.625,0.775,0.08477912478906585,46,SMOTEENN(),,iris
19,0.004927229881286621,0.00024757280210829075,0.0026103973388671873,0.00032180458489301577,DropTransformer(),LogisticRegression(),SimpleImputer(),StandardScaler(),FunctionTransformer(),"{'drop': DropTransformer(), 'model': LogisticRegression(), 'replacement': SimpleImputer(), 'samplers': SMOTEENN(), 'scaling': StandardScaler(), 'selection': FunctionTransformer()}",0.6666666666666666,0.6666666666666666,0.75,0.8,0.6666666666666666,0.4444444444444444,0.5,0.5,0.8,0.75,0.6544444444444444,0.12364824660660939,40,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.925,0.11456439237389601,16,0.8,0.8,0.75,0.888888888888889,0.8,0.6153846153846153,0.6666666666666666,0.6,0.888888888888889,0.75,0.755982905982906,0.09658573470920526,36,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.7916666666666667,0.1070436048222094,35,0.875,0.875,0.8125,0.9375,0.875,0.6875,0.75,0.6875,0.9375,0.8125,0.825,0.08750000000000001,36,SMOTEENN(),,iris
