,DIABETES,HYPERTEN,CHEST_PAIN
count,6314.0,6314.0,6314.0
mean,0.22141273360785557,0.5448210326259106,0.23123218245169463
std,0.4152305889636778,0.4980264627885858,0.42165390859267365
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,1.0,0.0
75%,0.0,1.0,0.0
max,1.0,1.0,1.0
