,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.8155943437580302,0.0,0.0,0.0,0.8156172839506173,MinMaxScaler,BalancedKFold
1,SGDClassifier,0.30945760122230703,0.053179979985149964,0.06810307209505732,0.8000557386217633,0.1380952380952381,0.08714285714285715,0.09307657657657657,0.7945679012345679,MinMaxScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.8153194295388243,0.0,0.0,0.0,0.8143827160493828,MinMaxScaler,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.19166666666666665,0.04684523809523809,0.07491228070175437,0.809398148148148,MinMaxScaler,BalancedKFold
4,KNeighborsClassifier,0.6505726663101452,0.17291088805158392,0.272972704521849,0.8303076394032377,0.31940476190476186,0.0823739637555427,0.12573531671660626,0.7958024691358025,MinMaxScaler,BalancedKFold
5,MLPClassifier,0.7832004118966461,0.2961102013781206,0.42846285293185604,0.8549242710521939,0.36583333333333334,0.13555137844611526,0.19498293468545186,0.7932716049382715,MinMaxScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.8155943437580302,0.0,0.0,0.0,0.8156172839506173,MinMaxScaler,BalancedKFold
