,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__penalty,param_model__class_weight,param_model__C,param_model__random_state,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,split5_train_precision,split6_train_precision,split7_train_precision,split8_train_precision,split9_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,model,scaling,param_model__n_estimators,param_model__min_samples_split,param_model__max_features,param_model__criterion,param_model__activation,param_model__learning_rate,param_model__kernel,param_model__weights,param_model__n_neighbors,param_model__leaf_size
0,0.04346201419830322,0.002939192055029164,0.0039044618606567383,0.0003053624776019779,sag,l2,,1,,"{'model__solver': 'sag', 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 1}",0.5,0.4,0.5555555555555556,0.9,0.4375,0.2857142857142857,0.125,0.625,0.5,0.625,0.49537698412698405,0.19863844399873948,3,0.625,0.5978260869565217,0.5857142857142857,0.5301204819277109,0.5977011494252874,0.5802469135802469,0.6082474226804123,0.5901639344262295,0.5977011494252874,0.5294117647058824,0.5842133188841864,0.029619221039520523,0.06666666666666667,0.08,0.06666666666666667,0.12,0.09210526315789473,0.02666666666666667,0.013333333333333334,0.06666666666666667,0.04,0.06666666666666667,0.06387719298245614,0.02957547689365679,10,0.08136094674556213,0.08136094674556213,0.060650887573964495,0.0650887573964497,0.07703703703703704,0.0695266272189349,0.08727810650887574,0.05325443786982249,0.07692307692307693,0.05325443786982249,0.0705735261889108,0.011503967745345779,0.11764705882352941,0.13333333333333333,0.11904761904761904,0.21176470588235294,0.15217391304347827,0.04878048780487805,0.024096385542168676,0.12048192771084337,0.07407407407407407,0.12048192771084337,0.11218814329731204,0.050407607936089345,10,0.14397905759162305,0.14322916666666666,0.1099195710455764,0.11594202898550723,0.13648293963254596,0.12417437252311757,0.15265200517464425,0.0976933514246947,0.13630406290956748,0.0967741935483871,0.12571507495023304,0.01887899360921546,0.6963562753036437,0.6842105263157895,0.7004048582995951,0.728744939271255,0.6842105263157895,0.6829268292682927,0.6707317073170732,0.7032520325203252,0.6951219512195121,0.7032520325203252,0.6949211678351601,0.015077979562312641,2,0.7051397655545536,0.7033363390441839,0.7006311992786294,0.6974752028854824,0.7033363390441839,0.701216764308247,0.7048219918882379,0.7003154574132492,0.7030193780982424,0.6971608832807571,0.7016453320795767,0.00265311524903284,LogisticRegression,MinMaxScaler,,,,,,,,,,
1,0.04517822265625,0.0047025142426584746,0.0034287691116333006,0.0004136142936188707,sag,l2,balanced,1,,"{'model__solver': 'sag', 'model__penalty': 'l2', 'model__class_weight': 'balanced', 'model__C': 1}",0.41818181818181815,0.34375,0.39285714285714285,0.3709677419354839,0.3114754098360656,0.375,0.35964912280701755,0.47706422018348627,0.3225806451612903,0.43333333333333335,0.3804859434295638,0.0486971327613038,11,0.40532825880114176,0.40921919096895576,0.4018604651162791,0.40625,0.4071294559099437,0.39756782039289057,0.4102079395085066,0.3940520446096654,0.4158043273753528,0.39558417663293466,0.404300367931567,0.006607398219410314,0.6133333333333333,0.5866666666666667,0.5866666666666667,0.6133333333333333,0.5,0.56,0.5466666666666666,0.6933333333333334,0.5333333333333333,0.6933333333333334,0.5926666666666666,0.060402354626657107,8,0.6301775147928994,0.643491124260355,0.6390532544378699,0.6346153846153846,0.642962962962963,0.628698224852071,0.6420118343195266,0.6272189349112426,0.6538461538461539,0.636094674556213,0.6378170063554679,0.007757479474827428,0.4972972972972972,0.4334975369458128,0.4705882352941177,0.4623115577889447,0.38383838383838387,0.44919786096256686,0.4338624338624339,0.5652173913043479,0.40201005025125625,0.5333333333333333,0.46311540808784946,0.05340938785868949,6,0.493341053850608,0.5002875215641173,0.49343232438606516,0.4953810623556582,0.498564043653073,0.48710601719197705,0.5005767012687428,0.4840182648401826,0.5083381253594019,0.4878048780487805,0.4948849992518607,0.0069969378597917195,0.6234817813765182,0.5344129554655871,0.5991902834008097,0.5668016194331984,0.5060728744939271,0.5813008130081301,0.5650406504065041,0.6747967479674797,0.516260162601626,0.6300813008130082,0.5797439188966788,0.05075300337967187,11,0.6055004508566276,0.6082055906221822,0.6000901713255185,0.60595130748422,0.6064021641118125,0.5966651644885084,0.6097341144659757,0.5926092834610185,0.6146913023884633,0.5930599369085173,0.6032909486112844,0.007001376945188392,LogisticRegression,MinMaxScaler,,,,,,,,,,
2,0.042903685569763185,0.004462336061644703,0.0037104606628417967,0.0004100555423743897,sag,l2,,0.9,,"{'model__solver': 'sag', 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 0.9}",0.5,0.4,0.5555555555555556,0.9,0.4375,0.2857142857142857,0.125,0.5714285714285714,0.5,0.625,0.49001984126984127,0.19577207212305847,5,0.6352941176470588,0.5681818181818182,0.5882352941176471,0.5443037974683544,0.6024096385542169,0.5844155844155844,0.6082474226804123,0.5833333333333334,0.5952380952380952,0.5147058823529411,0.5824364983989462,0.03210299238172374,0.05333333333333334,0.08,0.06666666666666667,0.12,0.09210526315789473,0.02666666666666667,0.013333333333333334,0.05333333333333334,0.04,0.06666666666666667,0.06121052631578947,0.029803960893633165,12,0.07988165680473373,0.07396449704142012,0.05917159763313609,0.06360946745562131,0.07407407407407407,0.06656804733727811,0.08727810650887574,0.051775147928994084,0.07396449704142012,0.051775147928994084,0.06820622397545476,0.011163325238202501,0.0963855421686747,0.13333333333333333,0.11904761904761904,0.21176470588235294,0.15217391304347827,0.04878048780487805,0.024096385542168676,0.0975609756097561,0.07407407407407407,0.12048192771084337,0.10776989642171786,0.05057583409318938,12,0.14191852825229961,0.13089005235602094,0.10752688172043011,0.11390728476821191,0.13192612137203166,0.1195219123505976,0.15265200517464425,0.09510869565217392,0.13157894736842105,0.09408602150537634,0.12191164505202072,0.01840915214763816,0.6963562753036437,0.6842105263157895,0.7004048582995951,0.728744939271255,0.6842105263157895,0.6829268292682927,0.6707317073170732,0.6991869918699187,0.6951219512195121,0.7032520325203252,0.6945146637701194,0.014901664905503762,6,0.7055906221821461,0.7006311992786294,0.7006311992786294,0.6983769161406672,0.7033363390441839,0.701216764308247,0.7048219918882379,0.6998648039657503,0.7025687246507436,0.6962595763857593,0.7013298137122994,0.002710588682282975,LogisticRegression,MinMaxScaler,,,,,,,,,,
3,0.043661761283874514,0.0035029205767648296,0.003571176528930664,0.0005227746854236287,sag,l2,balanced,0.9,,"{'model__solver': 'sag', 'model__penalty': 'l2', 'model__class_weight': 'balanced', 'model__C': 0.9}",0.41818181818181815,0.34375,0.39823008849557523,0.37398373983739835,0.3114754098360656,0.36936936936936937,0.35964912280701755,0.4727272727272727,0.3225806451612903,0.4344262295081967,0.38043736959240043,0.04818595664116358,13,0.4037914691943128,0.4103286384976526,0.39981447124304265,0.4052780395852969,0.40789473684210525,0.40037418147801684,0.4090909090909091,0.3948100092678406,0.4169811320754717,0.3939393939393939,0.40423029812140426,0.006834699836575123,0.6133333333333333,0.5866666666666667,0.6,0.6133333333333333,0.5,0.5466666666666666,0.5466666666666666,0.6933333333333334,0.5333333333333333,0.7066666666666667,0.594,0.06355749802781381,5,0.6301775147928994,0.6464497041420119,0.6375739644970414,0.636094674556213,0.642962962962963,0.6331360946745562,0.6390532544378699,0.6301775147928994,0.6538461538461539,0.6346153846153846,0.6384087223317992,0.007126537840247699,0.4972972972972972,0.4334975369458128,0.4787234042553191,0.4646464646464646,0.38383838383838387,0.44086021505376344,0.4338624338624339,0.5621621621621622,0.40201005025125625,0.5380710659898477,0.4634969014302741,0.05393372761097088,4,0.49220103986135183,0.5020103388856979,0.49144811858608894,0.49510650546919976,0.49913743530764804,0.49054441260744996,0.49884526558891457,0.48547008547008547,0.5092165898617512,0.48611898016997157,0.49500987718081585,0.0070225719462993965,0.6234817813765182,0.5344129554655871,0.6032388663967612,0.5708502024291497,0.5060728744939271,0.5772357723577236,0.5650406504065041,0.6707317073170732,0.516260162601626,0.6300813008130082,0.5797406273657878,0.05009164018286161,13,0.6036970243462579,0.609107303877367,0.5978358881875564,0.6045987376014428,0.6073038773669973,0.5993690851735016,0.6088328075709779,0.5930599369085173,0.6160432627309599,0.5912573231185219,0.60311052468821,0.007344640382988297,LogisticRegression,MinMaxScaler,,,,,,,,,,
4,0.03213868141174316,0.004257427494763659,0.003888988494873047,0.0005793509875468524,sag,l2,,0.5,,"{'model__solver': 'sag', 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 0.5}",0.42857142857142855,0.38461538461538464,0.5555555555555556,0.875,0.42857142857142855,0.2,0.0,0.4,0.6,0.6666666666666666,0.45389804639804643,0.23103094757451997,7,0.6290322580645161,0.5555555555555556,0.5689655172413793,0.53125,0.6323529411764706,0.578125,0.5833333333333334,0.574468085106383,0.5714285714285714,0.4807692307692308,0.570528049267544,0.04160421999783916,0.04,0.06666666666666667,0.06666666666666667,0.09333333333333334,0.07894736842105263,0.013333333333333334,0.0,0.02666666666666667,0.04,0.05333333333333334,0.04789473684210526,0.027976708423611236,16,0.057692307692307696,0.05917159763313609,0.04881656804733728,0.05029585798816568,0.0637037037037037,0.05473372781065089,0.0621301775147929,0.03994082840236687,0.05917159763313609,0.03698224852071006,0.05326386149463073,0.008662319527861164,0.07317073170731708,0.11363636363636365,0.11904761904761904,0.1686746987951807,0.13333333333333333,0.025,0.0,0.05,0.075,0.09876543209876544,0.08566281786185792,0.04877691405647469,16,0.10569105691056911,0.10695187165775401,0.0899182561307902,0.0918918918918919,0.11574697173620459,0.1,0.1122994652406417,0.07468879668049792,0.10723860589812333,0.06868131868131869,0.09731082348277914,0.014996469964201018,0.6923076923076923,0.6842105263157895,0.7004048582995951,0.7206477732793523,0.6842105263157895,0.6829268292682927,0.6747967479674797,0.6910569105691057,0.6991869918699187,0.7032520325203252,0.6933000888713341,0.012463167873981823,8,0.7024346257889991,0.6988277727682597,0.6988277727682597,0.69702434625789,0.7037871956717764,0.6998648039657503,0.7007661108607481,0.6985128436232537,0.6998648039657503,0.6944569625957638,0.6994367238266451,0.0024952070337480323,LogisticRegression,MinMaxScaler,,,,,,,,,,
5,0.03363056182861328,0.0024924290592999907,0.003114938735961914,0.0003745234431332944,sag,l2,balanced,0.5,,"{'model__solver': 'sag', 'model__penalty': 'l2', 'model__class_weight': 'balanced', 'model__C': 0.5}",0.43636363636363634,0.3488372093023256,0.39823008849557523,0.3671875,0.32,0.37719298245614036,0.34545454545454546,0.4406779661016949,0.33070866141732286,0.4186046511627907,0.3783257240754031,0.04125467465687236,16,0.40339302544769085,0.4076850984067479,0.3948339483394834,0.39776951672862454,0.4101123595505618,0.3938832252085264,0.4117091595845137,0.3876040703052729,0.41198501872659177,0.39348837209302323,0.4012463794391037,0.008385595387974735,0.64,0.6,0.6,0.6266666666666667,0.5263157894736842,0.5733333333333334,0.5066666666666667,0.6933333333333334,0.56,0.72,0.6046315789473684,0.06454400986139132,1,0.6331360946745562,0.643491124260355,0.6331360946745562,0.6331360946745562,0.6488888888888888,0.628698224852071,0.6449704142011834,0.6198224852071006,0.650887573964497,0.6257396449704142,0.6361906640368179,0.009843239877559936,0.518918918918919,0.4411764705882353,0.4787234042553191,0.46305418719211827,0.39800995024875624,0.45502645502645506,0.4108108108108108,0.538860103626943,0.4158415841584158,0.5294117647058824,0.4649833649531855,0.04817807841120958,2,0.4928036845135291,0.49913941480206536,0.48636363636363633,0.48858447488584483,0.5025817555938038,0.48433048433048437,0.5025936599423632,0.4769493454752418,0.5045871559633028,0.4831524842946888,0.4921086096164961,0.009171649158805984,0.6396761133603239,0.5384615384615384,0.6032388663967612,0.5587044534412956,0.5101214574898786,0.5813008130081301,0.556910569105691,0.6382113821138211,0.5203252032520326,0.6097560975609756,0.5756706494190448,0.04398373687660432,16,0.6027953110910731,0.6064021641118125,0.5924256086564472,0.5960324616771867,0.609107303877367,0.5921586300135196,0.6110860748084723,0.5858494817485354,0.6106354213609734,0.5921586300135196,0.5998651087358906,0.008740136365420086,LogisticRegression,MinMaxScaler,,,,,,,,,,
6,0.0036417245864868164,0.00045883503168080505,0.0,0.0,saga,elasticnet,,1,42,"{'model__solver': 'saga', 'model__random_state': 42, 'model__penalty': 'elasticnet', 'model__class_weight': None, 'model__C': 1}",,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,LogisticRegression,MinMaxScaler,,,,,,,,,,
7,0.10691001415252685,0.007802213220285654,0.0037036418914794924,0.0004522459558239815,saga,l2,,1,42,"{'model__solver': 'saga', 'model__random_state': 42, 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 1}",0.5,0.4,0.5555555555555556,0.9,0.4375,0.2857142857142857,0.125,0.625,0.5,0.625,0.49537698412698405,0.19863844399873948,3,0.625,0.5978260869565217,0.5857142857142857,0.5301204819277109,0.5977011494252874,0.5802469135802469,0.6082474226804123,0.5901639344262295,0.5977011494252874,0.5294117647058824,0.5842133188841864,0.029619221039520523,0.06666666666666667,0.08,0.06666666666666667,0.12,0.09210526315789473,0.02666666666666667,0.013333333333333334,0.06666666666666667,0.04,0.06666666666666667,0.06387719298245614,0.02957547689365679,10,0.08136094674556213,0.08136094674556213,0.060650887573964495,0.0650887573964497,0.07703703703703704,0.0695266272189349,0.08727810650887574,0.05325443786982249,0.07692307692307693,0.05325443786982249,0.0705735261889108,0.011503967745345779,0.11764705882352941,0.13333333333333333,0.11904761904761904,0.21176470588235294,0.15217391304347827,0.04878048780487805,0.024096385542168676,0.12048192771084337,0.07407407407407407,0.12048192771084337,0.11218814329731204,0.050407607936089345,10,0.14397905759162305,0.14322916666666666,0.1099195710455764,0.11594202898550723,0.13648293963254596,0.12417437252311757,0.15265200517464425,0.0976933514246947,0.13630406290956748,0.0967741935483871,0.12571507495023304,0.01887899360921546,0.6963562753036437,0.6842105263157895,0.7004048582995951,0.728744939271255,0.6842105263157895,0.6829268292682927,0.6707317073170732,0.7032520325203252,0.6951219512195121,0.7032520325203252,0.6949211678351601,0.015077979562312641,2,0.7051397655545536,0.7033363390441839,0.7006311992786294,0.6974752028854824,0.7033363390441839,0.701216764308247,0.7048219918882379,0.7003154574132492,0.7030193780982424,0.6971608832807571,0.7016453320795767,0.00265311524903284,LogisticRegression,MinMaxScaler,,,,,,,,,,
8,0.18339548110961915,0.0291180105528678,0.0041687250137329105,0.0008880332392645644,saga,l1,,1,42,"{'model__solver': 'saga', 'model__random_state': 42, 'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 1}",0.5,0.42857142857142855,0.5714285714285714,0.8888888888888888,0.4666666666666667,0.5,0.25,0.5,0.375,0.5,0.4980555555555556,0.15512477300644903,2,0.6219512195121951,0.618421052631579,0.5737704918032787,0.5384615384615384,0.6091954022988506,0.5974025974025974,0.6021505376344086,0.5961538461538461,0.6024096385542169,0.5409836065573771,0.5900899931009889,0.028131012935297038,0.05333333333333334,0.08,0.05333333333333334,0.10666666666666667,0.09210526315789473,0.04,0.02666666666666667,0.04,0.04,0.05333333333333334,0.05854385964912281,0.024559655326256855,14,0.07544378698224852,0.0695266272189349,0.051775147928994084,0.0621301775147929,0.07851851851851852,0.06804733727810651,0.08284023668639054,0.04585798816568047,0.07396449704142012,0.04881656804733728,0.06569208853824239,0.012356774315914875,0.0963855421686747,0.1348314606741573,0.0975609756097561,0.19047619047619047,0.15384615384615383,0.07407407407407407,0.04819277108433735,0.07407407407407407,0.07228915662650602,0.0963855421686747,0.10381159408025986,0.04120869084902438,15,0.13456464379947228,0.125,0.09497964721845319,0.11140583554376657,0.13910761154855641,0.12217795484727755,0.14564369310793238,0.08516483516483517,0.13175230566534912,0.08955223880597014,0.11793487657016129,0.020495058133875487,0.6963562753036437,0.6882591093117408,0.7004048582995951,0.7246963562753036,0.6882591093117408,0.6951219512195121,0.6788617886178862,0.6951219512195121,0.6869918699186992,0.6951219512195121,0.6949195220697145,0.011525435479190679,5,0.7042380522993688,0.7033363390441839,0.6992786293958522,0.6979260595130748,0.7042380522993688,0.7021180712032447,0.7039206849932402,0.6998648039657503,0.7030193780982424,0.6976115367282559,0.7015551607540582,0.0024977462459355127,LogisticRegression,MinMaxScaler,,,,,,,,,,
9,0.0035395145416259764,0.0005114093727142564,0.0,0.0,saga,elasticnet,balanced,1,42,"{'model__solver': 'saga', 'model__random_state': 42, 'model__penalty': 'elasticnet', 'model__class_weight': 'balanced', 'model__C': 1}",,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,LogisticRegression,MinMaxScaler,,,,,,,,,,
