,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.75,0.005074729035810993,0.010074758825872287,0.786062802649951,0.1,0.005,0.009523809523809523,0.7851290014333492,Normal,BalancedKFold
1,SGDClassifier,0.4542760287072258,0.3569410491469315,0.16954929299056173,0.6036023885208401,0.14734008275674942,0.365,0.14681495842121767,0.5741280458671764,Normal,BalancedKFold
2,RidgeClassifier,0.8,0.0045370946272088415,0.009022965965188624,0.786062802649951,0.1,0.005,0.009523809523809523,0.7862159579550884,Normal,BalancedKFold
3,RandomForestClassifier,0.9915010286338072,0.9920491606491177,0.9917629393209015,0.9964668310507709,0.4333333333333333,0.033530114386891886,0.059571039876886944,0.7807214524605829,Normal,BalancedKFold
4,KNeighborsClassifier,0.9960490169049546,0.9886161743318997,0.992311454157009,0.9967104364100889,0.3010729548229548,0.12916700626738992,0.17041067979148475,0.7499880554228381,Normal,BalancedKFold
5,MLPClassifier,0.24269139872887865,0.08750554290393181,0.06746309772953855,0.7380712100056444,0.3693548387096774,0.08954993535875888,0.08355065634609544,0.7466435738174868,Normal,BalancedKFold
6,LinearSVC,0.18544147074414666,0.20507143402476954,0.0781358629209661,0.6655288018775437,0.10934065934065935,0.21000000000000002,0.1081699346405229,0.7042642140468226,Normal,BalancedKFold
