,0
WHQ030E,float64
MCQ080E,float64
ECQ150,float64
FSD032A,float64
FSD032B,float64
FSD032C,float64
FSD041,float64
FSD052,float64
FSD061,float64
FSD071,float64
FSD081,float64
FSD092,float64
FSD102,float64
FSD032D,float64
FSD032E,float64
FSD032F,float64
FSD111,float64
FSD122,float64
FSD132,float64
FSD141,float64
FSD146,float64
FSDHH,float64
FSDAD,float64
FSDCH,float64
FSD151,float64
FSQ165,float64
FSD165N,float64
FSQ012,float64
FSD012N,float64
FSD230,float64
FSD230N,float64
FSD795,float64
FSD225,float64
FSD235,float64
FSD855,float64
FSD860,float64
FSQ865,float64
FSQ162,float64
FSQ760,float64
FSD760N,float64
FSQ653,float64
FSD660ZC,float64
FSD675,float64
FSD680,float64
FSD670ZC,float64
FSQ690,float64
FSQ695,float64
FSD652ZW,float64
FSD672ZW,float64
FSD652CW,float64
FSD660ZW,float64
HIQ011,float64
HIQ031A,float64
HIQ031B,float64
HIQ031C,float64
HIQ031D,float64
HIQ031E,float64
HIQ031F,float64
HIQ031H,float64
HIQ031I,float64
HIQ031J,float64
HIQ031AA,float64
HIQ260,float64
HIQ105,float64
HIQ270,float64
HIQ210,float64
HEQ010,float64
HEQ020,float64
HEQ030,float64
HEQ040,float64
HUQ010,float64
HUQ020,float64
HUQ030,float64
HUQ041,float64
HUQ051,float64
HUQ061,float64
HUQ071,float64
HUD080,float64
HUQ090,float64
HOD050,float64
HOQ065,float64
IMQ011,float64
IMQ020,float64
IMQ060,float64
IMQ070,float64
IMQ081A,float64
IMQ081B,float64
IMQ081C,float64
IMQ081D,float64
IMQ090,float64
IMQ100,float64
INQ020,float64
INQ012,float64
INQ030,float64
INQ060,float64
INQ080,float64
INQ090,float64
INQ132,float64
INQ140,float64
INQ150,float64
IND235,float64
INDFMMPI,float64
INDFMMPC,float64
INQ300,float64
IND310,float64
INQ320,float64
KIQ022,float64
KIQ025,float64
KIQ026,float64
KIQ029,float64
KIQ005,float64
KIQ010,float64
KIQ042,float64
KIQ430,float64
KIQ044,float64
KIQ450,float64
KIQ046,float64
KIQ470,float64
KIQ050,float64
KIQ052,float64
KIQ480,float64
MCQ010,float64
MCQ025,float64
MCQ035,float64
MCQ040,float64
MCQ050,float64
AGQ030,float64
MCQ053,float64
MCQ080,float64
MCQ092,float64
MCD093,float64
MCQ149,float64
MCQ151,float64
RHD018,float64
MCQ160A,float64
MCD180A,float64
MCQ195,float64
MCQ160N,float64
MCD180N,float64
MCQ160B,float64
MCD180B,float64
MCQ160C,float64
MCD180C,float64
MCQ160D,float64
MCD180D,float64
MCQ160E,float64
MCD180E,float64
MCQ160F,float64
MCD180F,float64
