,Total_Chol,LDL,HDL,FBG,FBG
Total_Chol,1.0,0.9235550911109246,0.9235550911109246,-0.017514564382179274,0.2906642554278223
LDL,0.9235550911109246,1.0,1.0,-0.04326914765204226,0.14691151050317322
HDL,0.9235550911109246,1.0,1.0,-0.04326914765204226,0.14691151050317322
FBG,-0.017514564382179274,-0.04326914765204226,-0.04326914765204226,1.0,0.21770990534662774
FBG,0.2906642554278223,0.14691151050317322,0.14691151050317322,0.21770990534662774,1.0
