,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.0,0.0,0.0,0.9764795935642929,0.0,0.0,0.0,0.9764673901488576,StandardScaler,StratifiedKFold
1,SGDClassifier,0.021914554721110077,0.034874469225378235,0.020455005395250032,0.9503686570868586,0.05245667121533367,0.028239202657807307,0.020498784840890107,0.9478116637964286,StandardScaler,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,StandardScaler,StratifiedKFold
3,RandomForestClassifier,1.0,0.9939742479834001,0.9969759274037759,0.9998591605541858,0.0,0.0,0.0,0.9765225169404783,StandardScaler,StratifiedKFold
4,KNeighborsClassifier,0.522142857142857,0.006289593381979085,0.012419215492571665,0.9766632992760791,0.0,0.0,0.0,0.9763571669385038,StandardScaler,StratifiedKFold
5,MLPClassifier,0.8846611721611722,0.022798917151062924,0.04436268666444585,0.97709194656187,0.05,0.0023809523809523807,0.004545454545454545,0.9761917865636418,StandardScaler,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,StandardScaler,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9764154309593571,0.0,0.0,0.0,0.9764425770308124,StandardScaler,BalancedKFold
1,SGDClassifier,0.01818181818181818,0.010526315789473684,0.013333333333333332,0.9752358765687937,0.0,0.0,0.0,0.9740896358543418,StandardScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9764154309593571,0.0,0.0,0.0,0.9764425770308124,StandardScaler,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9764425770308124,StandardScaler,BalancedKFold
4,KNeighborsClassifier,0.37785714285714284,0.11432920536635707,0.1743377926421405,0.9766777257038557,0.0,0.0,0.0,0.971736694677871,StandardScaler,BalancedKFold
5,MLPClassifier,1.0,1.0,1.0,1.0,0.15,0.05833333333333333,0.08333333333333333,0.9622969187675068,StandardScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9764154309593571,0.0,0.0,0.0,0.9764425770308124,StandardScaler,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9764795935642929,0.0,0.0,0.0,0.9764673901488576,RobustScaler,StratifiedKFold
1,SGDClassifier,0.028994623655913977,0.007085239999450331,0.009680471075531551,0.974887432273621,0.04144144144144144,0.009357696566998893,0.011944444444444443,0.9744288530286325,RobustScaler,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,RobustScaler,StratifiedKFold
3,RandomForestClassifier,1.0,0.9942360280881122,0.9971080250592154,0.999865283877926,0.0,0.0,0.0,0.9765225169404783,RobustScaler,StratifiedKFold
4,KNeighborsClassifier,0.4,0.0023580822030754007,0.004687521192906311,0.9766143108112886,0.0,0.0,0.0,0.9765225169404783,RobustScaler,StratifiedKFold
5,MLPClassifier,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,RobustScaler,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.9766326819074307,0.0,0.0,0.0,0.9766327401508319,RobustScaler,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9762843693604057,0.0,0.0,0.0,0.9752661064425772,RobustScaler,BalancedKFold
1,SGDClassifier,0.017378048780487803,0.03602941176470588,0.023344074471894023,0.9681588933186033,0.075,0.10833333333333332,0.08857142857142856,0.9728991596638655,RobustScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9764154309593571,0.0,0.0,0.0,0.9764425770308124,RobustScaler,BalancedKFold
3,RandomForestClassifier,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9764425770308124,RobustScaler,BalancedKFold
4,KNeighborsClassifier,1.0,1.0,1.0,1.0,0.3,0.10833333333333332,0.15666666666666668,0.9729131652661064,RobustScaler,BalancedKFold
5,MLPClassifier,1.0,1.0,1.0,1.0,0.1,0.025,0.04,0.9528151260504201,RobustScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9764154309593571,0.0,0.0,0.0,0.9764425770308124,RobustScaler,BalancedKFold
