,RIAGENDR,RIDAGEYR,RIDRETH1,BMXBMI,DIQ010,SMQ020,KIQ022
count,6626.0,6626.0,6626.0,6626.0,6626.0,6626.0,6626.0
mean,1.5184123151222457,47.66888016903109,3.15605191669182,28.570495019619678,2.0,1.588590401448838,2.0
std,0.49969858047533966,17.399525142472285,1.2710205270162647,6.028132809899473,0.0,0.4921262967748095,0.0
min,1.0,20.0,1.0,14.5,2.0,1.0,2.0
25%,1.0,33.0,2.0,24.1,2.0,1.0,2.0
50%,2.0,46.0,3.0,27.8,2.0,2.0,2.0
75%,2.0,61.0,4.0,32.2,2.0,2.0,2.0
max,2.0,80.0,5.0,48.2,2.0,2.0,2.0
