,RIAGENDR,RIDAGEYR,RIDRETH1,BMXBMI,DIQ010,SMQ020,KIQ022
count,4083.0,4083.0,4083.0,3606.0,4083.0,4083.0,4083.0
mean,1.4369336272348763,69.79035023267205,3.077149155033064,28.63604547975596,1.775410237570414,1.4099926524614255,1.938280675973549
std,0.49606743770069517,12.930414712783886,0.8986758750020919,6.958534707309219,0.5761576735876404,0.5466194490612343,0.49998694993879295
min,1.0,20.0,1.0,13.18,1.0,1.0,1.0
25%,1.0,63.0,3.0,23.94,1.0,1.0,2.0
50%,1.0,74.0,3.0,27.62,2.0,1.0,2.0
75%,2.0,80.0,4.0,31.9,2.0,2.0,2.0
max,2.0,85.0,5.0,81.25,9.0,9.0,9.0
