,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
0,LogisticRegression,0.16666666666666666,0.0018915866741953697,0.0037293469708890637,0.8039137864261366,0.05,0.004,0.007407407407407407,0.8041208791208792,Normal,BalancedKFold
1,SGDClassifier,0.1391399461244352,0.1095168867028048,0.0495755625810061,0.7416262383482186,0.11956521739130435,0.10400000000000001,0.04041958041958042,0.7400023889154324,Normal,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.8040354409273531,0.0,0.0,0.0,0.8030219780219781,Normal,BalancedKFold
3,RandomForestClassifier,1.0,0.9993788819875776,0.9996884735202493,0.9998783454987834,0.26666666666666666,0.033914529914529916,0.05766417678182384,0.7888198757763975,Normal,BalancedKFold
4,KNeighborsClassifier,1.0,1.0,1.0,1.0,0.21547619047619046,0.07924949723479136,0.1107225393565772,0.7669254658385093,Normal,BalancedKFold
5,MLPClassifier,0.6857747354807225,0.1843249224710733,0.28849588533894455,0.8232429571947625,0.3444047619047619,0.07883722976370036,0.12409969257795343,0.784448160535117,Normal,BalancedKFold
6,LinearSVC,0.08945161764116807,0.30254093732354603,0.10437448206232063,0.6214097140306221,0.08278388278388278,0.3055555555555555,0.09430717779774384,0.6019350215002389,Normal,BalancedKFold
